Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
dentist near me,INR,500.0,0%,900%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic near me,INR,500.0,0%,0%,Low,2.0,11.05,40.37,,,,,,,,,,,,,,,,,
dental clinic close to me,INR,500.0,0%,0%,Low,2.0,11.05,40.37,,,,,,,,,,,,,,,,,
dental clinic in near me,INR,500.0,0%,0%,Low,2.0,11.05,40.37,,,,,,,,,,,,,,,,,
dentist near me near me,INR,500.0,0%,900%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
braces for adults,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
dental implants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pediatric dentist near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kids dentist near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dentist near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cosmetic dentistry,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pediatric dentist,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dental implants cost,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
periodontist near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental cleaning near me,INR,50.0,0%,0%,High,71.0,,0.0,,,,,,,,,,,,,,,,,
implants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cosmetic dentistry near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
childrens dentist near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
prosthodontist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
full mouth dental implants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good dentist near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental care near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
professional teeth whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening at home,INR,50.0,0%,0%,High,95.0,,0.0,,,,,,,,,,,,,,,,,
best way to whiten teeth,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
full dental implants cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
all on four dental implants,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
dentist around me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
average cost of dental implants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
smile teeth whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
full dental implants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser teeth whitening,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
smile dental near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening dentist,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth bleaching near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
natural teeth whitening,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
teeth whitening cost,INR,50.0,∞,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
crest teeth whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
price of dental implants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
