Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts mock test online,INR,50.0,∞,∞,High,81.0,16.76,45.95,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam online,INR,50.0,∞,∞,High,81.0,16.76,45.95,,,,,,,,,,,,,,,,,
best ielts course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best coaching online,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy to study abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad agency near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best abroad education consultants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online best ielts coaching,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test online,INR,50.0,∞,∞,High,81.0,16.76,45.95,,,,,,,,,,,,,,,,,
mock exam ielts online,INR,50.0,∞,∞,High,81.0,16.76,45.95,,,,,,,,,,,,,,,,,
ielts test mock online,INR,50.0,∞,∞,High,81.0,16.76,45.95,,,,,,,,,,,,,,,,,
best consultants for abroad education,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best education consultancy,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts mock test online free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
