Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
interior designers near me,INR,50.0,0%,0%,Low,14.0,59.0,218.32,,,,,,,,,,,,,,,,,
bathroom remodel near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen,INR,50.0,0%,0%,High,86.0,11.69,79.59,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Low,14.0,59.0,218.32,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design,INR,50.0,0%,0%,High,69.0,22.1,48.83,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
home remodeling contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home designer near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen near me,INR,50.0,0%,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
home decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen designs,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior designer near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
bedroom designers near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
interior design companies near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Low,14.0,59.0,218.32,,,,,,,,,,,,,,,,,
interior design firms near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen reno cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home improvement contractor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,∞,∞,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home cost,INR,50.0,∞,0%,High,95.0,39.49,216.34,,,,,,,,,,,,,,,,,
house renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
