Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
3 bhk,INR,500.0,0%,0%,Low,6.0,34.68,212.5,,,,,,,,,,,,,,,,,
houses for sale near me,INR,50.0,0%,0%,High,69.0,31.08,121.49,,,,,,,,,,,,,,,,,
realtors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate agents near me,INR,50.0,∞,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
estate agents near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes for sale near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
office space for rent near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
new homes for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate investment trust,INR,50.0,0%,0%,Medium,51.0,22.8,60.3,,,,,,,,,,,,,,,,,
property for sale near me,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
new houses for sale near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
commercial property for sale near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
apartments for sale near me,INR,50.0,0%,0%,Low,21.0,,0.0,,,,,,,,,,,,,,,,,
small office space for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
buildings for sale near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
shops for rent near me,INR,50.0,0%,0%,Low,18.0,,0.0,,,,,,,,,,,,,,,,,
rental property near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial property for rent near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office rentals near me,INR,50.0,0%,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
real estate for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes for sale by owner near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate brokers near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
rental agencies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
flats for sale near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
business space for rent near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new houses near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property investors near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
commercial rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
flats near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
property agents near me,INR,50.0,∞,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
commercial buildings for sale near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
commercial buildings for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses with land for sale near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
homes to buy near me,INR,50.0,0%,0%,High,69.0,31.08,121.49,,,,,,,,,,,,,,,,,
rent a office space near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
realty companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best real estate investments,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes with land for sale near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
farm houses for sale near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property dealer near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial space for lease near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
