Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
dr dermatologist near me,INR,500.0,0%,0%,Low,13.0,14.42,50.1,,,,,,,,,,,,,,,,,
derma near me,INR,500.0,0%,0%,Low,13.0,18.92,63.31,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,0%,0%,Low,13.0,18.92,63.31,,,,,,,,,,,,,,,,,
derm near me,INR,500.0,0%,0%,Low,13.0,18.92,63.31,,,,,,,,,,,,,,,,,
dermatologist near me,INR,500.0,0%,0%,Low,13.0,18.92,63.31,,,,,,,,,,,,,,,,,
skin dr near me,INR,500.0,0%,0%,Low,13.0,14.42,50.1,,,,,,,,,,,,,,,,,
best doctor near me for hair loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dr batra skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost for hydrafacial,INR,50.0,0%,0%,Low,19.0,,0.0,,,,,,,,,,,,,,,,,
best derma clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best lady dermatologist near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
co2 laser resurfacing price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
price for hydrafacial,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lhr treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best professional chemical peel for melasma,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of dermal fillers for face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for face,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist medical near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good skin clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
nearby skin care clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser hair reduction treatment,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair care doctors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment for upper lip cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatopathology near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair specialist doctors near me,INR,50.0,0%,0%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
near me dermatologist clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pedia dermatologist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
skin & hair clinic,INR,50.0,0%,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
hydrafacial near me with price,INR,50.0,∞,∞,Medium,39.0,,0.0,,,,,,,,,,,,,,,,,
hair skin clinic near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin and hair specialist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin peeling solution,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good skin doctors near me,INR,50.0,0%,0%,Low,19.0,,0.0,,,,,,,,,,,,,,,,,
near me best dermatologist,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
carves skin clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair & skin clinic,INR,50.0,0%,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
ped dermatologist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
chemical peel costs,INR,50.0,0%,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
yellow peel treatment price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
labelle skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermal fillers under eyes cost,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
melasma peel treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for pigmentation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
twacha skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skincare doctor near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial cost machine,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist near me for face,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
pimple dr near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dr priya's skin & hair clinic dermatologist with skincare clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
deep peeling treatment,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best skin care clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser skin resurfacing treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best peeling solution for face,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acid peel near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
