Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
math tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics tutors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
english tutors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tutor near me,INR,50.0,0%,0%,Low,20.0,,0.0,,,,,,,,,,,,,,,,,
maths tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition near me,INR,50.0,∞,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
english tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
german tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tutoring near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best math tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
science tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gmat online coaching,INR,50.0,∞,∞,High,83.0,59.91,158.61,,,,,,,,,,,,,,,,,
physics tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tutor near me math,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mathematics tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
math teacher near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gmat coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gre coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gmat courses,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tuition near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gmat classes online,INR,50.0,∞,∞,High,83.0,59.91,158.61,,,,,,,,,,,,,,,,,
best gmat coaching,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
math learning center near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
math coaching near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best english tutor near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mathematics tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
