Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
hire car rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
cars on rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
rent car near by me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car rental agencies near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
rent a car near by me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car rental car near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
rent of car near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
rental car rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
near me rental car,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
rent a car in near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car in rent near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
near me car rental,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
near me rent a car,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
hire rental car near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
auto rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car rental near to me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
vehicle rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
automobile rentals near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car rental in near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
car rental near me,INR,500.0,0%,900%,Low,18.0,3.59,26.1,,,,,,,,,,,,,,,,,
thar on rent near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
