Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gymnasium near me,INR,5000.0,0%,0%,Low,1.0,0.69,52.42,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,0%,0%,Low,1.0,0.69,52.42,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,0%,Low,1.0,0.69,52.42,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,0%,Low,1.0,0.69,52.42,,,,,,,,,,,,,,,,,
gym near me,INR,5000.0,0%,0%,Low,1.0,0.69,52.42,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,0%,0%,Low,1.0,8.57,20.9,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,0%,0%,Low,1.0,8.57,20.9,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,0%,0%,Low,1.0,8.57,20.9,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
cult pro gym near me,INR,50.0,0%,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
best strength training workout,INR,50.0,0%,∞,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
best women's gym near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dance fitness studio near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
reasonable gyms near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 hours open gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga centre near me for ladies,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local gym prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
for weight loss diet plan,INR,50.0,0%,0%,Medium,49.0,2.57,35.33,,,,,,,,,,,,,,,,,
cheap price gym near me,INR,50.0,∞,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
gym near me and price,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
gym yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 7 fitness gym near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitpass near me,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
24 hour fitness hours near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
boxing classes near me with fees,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best workout for gaining muscle,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
diet plan for tummy fat loss,INR,50.0,0%,0%,Medium,61.0,4.53,33.69,,,,,,,,,,,,,,,,,
best diet plan for muscle gain and fat loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym ladies only near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym low price near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitness first membership cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
professional gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
xtreme fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near by gym and fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
lady fitness trainer near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
24 hour fitness pass price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aesthetic gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
body fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitness gym for ladies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
