Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,Medium,39.0,13.56,50.61,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,High,79.0,9.06,48.01,,,,,,,,,,,,,,,,,
study abroad consultants,INR,50.0,0%,0%,High,97.0,308.62,529.39,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,Medium,39.0,13.56,50.61,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts institute near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad education consultants,INR,50.0,0%,0%,High,97.0,308.62,529.39,,,,,,,,,,,,,,,,,
ielts training near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts syllabus,INR,50.0,0%,0%,Medium,52.0,12.51,33.8,,,,,,,,,,,,,,,,,
ielts exam syllabus,INR,50.0,0%,0%,Medium,52.0,12.51,33.8,,,,,,,,,,,,,,,,,
best ielts coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad consultancy near me,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,0%,0%,High,80.0,143.12,305.4,,,,,,,,,,,,,,,,,
ielts mock exam,INR,50.0,0%,0%,High,79.0,9.06,48.01,,,,,,,,,,,,,,,,,
abroad study consultancy near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test,INR,50.0,0%,0%,High,79.0,9.06,48.01,,,,,,,,,,,,,,,,,
best counsellor for study abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
foreign study consultancy,INR,50.0,0%,0%,High,97.0,308.62,529.39,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best agency for studying abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,0%,0%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ajinorah online classes fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best pte coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
