Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
kitchen interior design,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
interior designers in near me,INR,50.0,0%,0%,Low,12.0,1.97,140.28,,,,,,,,,,,,,,,,,
home design prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
architects and interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior home design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen modular kitchen,INR,50.0,0%,0%,Medium,52.0,28.66,113.37,,,,,,,,,,,,,,,,,
pop false ceiling near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior furniture near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bedroom interior design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen tap design with price,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best bedroom wardrobe,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior shop near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen wardrobe design with price,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best dental clinic interior design,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen pantry unit price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen furniture price,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
bedroom wardrobe cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best cupboard design for bedroom,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dental clinic design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic furniture design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe design cost,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small clinic reception design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best desk design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of home interior,INR,50.0,∞,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
small clinic waiting room design,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
clinic reception design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home reno costs,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic design layout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
thermocol ceiling work near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design low cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best office table design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design price,INR,50.0,∞,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
interior decoration cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling designer near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low cost simple kitchen designs,INR,50.0,0%,0%,High,70.0,,0.0,,,,,,,,,,,,,,,,,
interior firms near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen trolley designs with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
