Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
kitchen interior design,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
kitchen interior decoration,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
kitchen and interior design,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
kitchen design interior design,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
design kitchen interior,INR,500.0,0%,0%,Medium,39.0,14.11,40.58,,,,,,,,,,,,,,,,,
cost of cabinets,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet prices,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
cabinet prices,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,∞,∞,Medium,33.0,,0.0,,,,,,,,,,,,,,,,,
kitchen unit prices,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
readymade kitchen cabinets price,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinets cost estimate,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
10x10 kitchen cabinets cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior design,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen door prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design cost,INR,50.0,∞,∞,Medium,33.0,,0.0,,,,,,,,,,,,,,,,,
best kitchen layout with island,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen cabinets price,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
