Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
near me skin specialist,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,0%,0%,Low,16.0,19.58,63.01,,,,,,,,,,,,,,,,,
skin dr near me,INR,500.0,0%,0%,Low,14.0,15.17,80.69,,,,,,,,,,,,,,,,,
skin specialist in near me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
skin specialist near me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
derma near me,INR,500.0,0%,0%,Low,16.0,19.58,63.01,,,,,,,,,,,,,,,,,
dr dermatologist near me,INR,500.0,0%,0%,Low,14.0,15.17,80.69,,,,,,,,,,,,,,,,,
derm near me,INR,500.0,0%,0%,Low,16.0,19.58,63.01,,,,,,,,,,,,,,,,,
dr skin near me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
near me skin specialist doctor,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
skin doctor near by me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
dermatologist near me,INR,500.0,0%,0%,Low,16.0,19.58,63.01,,,,,,,,,,,,,,,,,
skin special doctor near me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
skin specialist doctor near me,INR,500.0,0%,0%,Low,19.0,10.32,66.55,,,,,,,,,,,,,,,,,
best skin care clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spot laser treatment price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top skin doctors near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dr priya's skin & hair clinic dermatologist with skincare clinic,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin specialist doctor near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
pimple dr near me,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
hydrafacial cost machine,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for underarms,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser facial rejuvenation cost,INR,50.0,∞,∞,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
