Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
car rental near me,INR,50.0,0%,0%,Low,11.0,2.9,147.96,,,,,,,,,,,,,,,,,
car hire near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap car rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
airport taxi,INR,50.0,0%,0%,High,88.0,11.82,54.98,,,,,,,,,,,,,,,,,
rent a van near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental places near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap car hire near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
suv rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
vehicle rental near me,INR,50.0,0%,0%,Low,11.0,2.9,147.96,,,,,,,,,,,,,,,,,
taxi cab near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
auto rental near me,INR,50.0,0%,0%,Low,11.0,2.9,147.96,,,,,,,,,,,,,,,,,
luxury car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
airport taxi near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best car rentals,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jeep rental near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self drive car rental,INR,50.0,0%,0%,Low,26.0,2.98,11.66,,,,,,,,,,,,,,,,,
local car rentals near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
7 seater car rental near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
car rental services near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
7 seater car hire near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
affordable car rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self drive cars near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
car travels near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
cheap rental near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
wedding car hire near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local car hire near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental cars available near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
taxi to airport near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental agencies near me,INR,50.0,0%,0%,Low,11.0,2.9,147.96,,,,,,,,,,,,,,,,,
vehicle hire near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
outstation cab booking,INR,50.0,0%,0%,High,86.0,11.3,63.47,,,,,,,,,,,,,,,,,
taxi cab service near me,INR,50.0,0%,0%,Low,28.0,4.66,26.9,,,,,,,,,,,,,,,,,
outstation cabs,INR,50.0,0%,0%,High,86.0,9.3,29.19,,,,,,,,,,,,,,,,,
inexpensive car rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
luxury car hire near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
electric car rental near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
discount rental cars near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best car hire,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
price car rental,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
