Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
dental clinic near me,INR,500.0,0%,0%,Low,1.0,5.7,40.2,,,,,,,,,,,,,,,,,
dental clinic in near me,INR,500.0,0%,0%,Low,1.0,5.7,40.2,,,,,,,,,,,,,,,,,
dentist near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
dentist near me near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic close to me,INR,500.0,0%,0%,Low,1.0,5.7,40.2,,,,,,,,,,,,,,,,,
top rated pediatric dentist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cosmetic dentistry veneers,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 dental implants cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening dentist price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dentist near me cheap and good,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic near me 24 hours,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth washing near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
ultraviolet teeth whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aesthetic dental clinic,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental implants how much,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
all on four dental implants price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth bleaching price,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pediatric dental care near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic price list near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
in office whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top dental clinic near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
