Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gym near near me,INR,5000.0,-90%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym near me,INR,5000.0,-90%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,-90%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gymnasium near me,INR,5000.0,-90%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,-90%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,0%,0%,Low,2.0,0.37,26.88,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga,INR,500.0,0%,0%,Low,24.0,3.63,21.15,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,0%,0%,Low,2.0,0.37,26.88,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,0%,0%,Low,2.0,0.37,26.88,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
best diet plan for muscle gain and fat loss,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
gym ladies only near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
golds gym membership costs,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
body fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best strength exercises for runners,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
energie fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near by me with fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym for female near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me ladies only,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jim center near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best strength training for runners,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best crossfit workouts,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gyms near me women's only,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies exercise classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym nearby,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
boxing near me classes,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
box fit near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aqua fit near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym packages near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best weight training for fat loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me only for ladies,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
anytime fitness gym near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me low price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gold's gym year membership cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
womens fitness club near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iyengar yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
