Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,∞,Medium,62.0,,0.0,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,High,82.0,8.54,34.57,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,∞,Medium,62.0,,0.0,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts reading practice test,INR,50.0,0%,∞,Medium,63.0,0.93,26.73,,,,,,,,,,,,,,,,,
ielts reading practice,INR,50.0,∞,∞,Medium,66.0,2.99,17.33,,,,,,,,,,,,,,,,,
ielts course near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pte coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam,INR,50.0,0%,0%,High,82.0,8.54,34.57,,,,,,,,,,,,,,,,,
ielts online exam,INR,50.0,0%,0%,High,79.0,9.69,33.58,,,,,,,,,,,,,,,,,
abroad study consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts reading mock test,INR,50.0,0%,∞,Medium,63.0,0.93,26.73,,,,,,,,,,,,,,,,,
ielts exam online test,INR,50.0,0%,0%,High,79.0,9.69,33.58,,,,,,,,,,,,,,,,,
best ielts online course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test,INR,50.0,0%,0%,High,82.0,8.54,34.57,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas education consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad studies consultancy near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best coaching online,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
foreign consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad agency near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad education consultants near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
abroad consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mbbs abroad consultants near me,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
ielts training institute near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online classes for ielts preparation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best abroad education consultants,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best online course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best agencies to study abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online best ielts coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
manya ielts coaching fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best academy for ielts,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultants for abroad education,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best overseas consultancy,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts academic cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam reading practice,INR,50.0,∞,∞,Medium,66.0,2.99,17.33,,,,,,,,,,,,,,,,,
ielts exam reading practice test,INR,50.0,0%,∞,Medium,63.0,0.93,26.73,,,,,,,,,,,,,,,,,
reading practice in ielts,INR,50.0,∞,∞,Medium,66.0,2.99,17.33,,,,,,,,,,,,,,,,,
