Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
wardrobe designs,INR,500.0,0%,0%,High,80.0,10.52,23.97,,,,,,,,,,,,,,,,,
kitchen interior design,INR,500.0,0%,0%,Low,32.0,16.84,46.49,,,,,,,,,,,,,,,,,
clothes cupboard design,INR,500.0,0%,0%,High,80.0,10.52,23.97,,,,,,,,,,,,,,,,,
wardroom design,INR,500.0,0%,0%,High,80.0,10.52,23.97,,,,,,,,,,,,,,,,,
interior designers near me,INR,50.0,0%,0%,Low,18.0,15.43,199.25,,,,,,,,,,,,,,,,,
bathroom remodel near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
bedroom wardrobe,INR,50.0,0%,0%,High,100.0,5.7,10.84,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Low,18.0,15.43,199.25,,,,,,,,,,,,,,,,,
home remodeling contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home designer near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen near me,INR,50.0,∞,∞,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
home decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design companies near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
affordable interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Low,18.0,15.43,199.25,,,,,,,,,,,,,,,,,
interior design services near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home renovation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house remodel cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home renovation services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior designer near me with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
restaurant interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen designs,INR,50.0,∞,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
home interior designer near me,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
home improvement contractor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,0%,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
