Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
jee main,INR,500.0,0%,0%,Low,5.0,17.7,92.96,,,,,,,,,,,,,,,,,
jee mains jee mains,INR,500.0,0%,0%,Low,5.0,17.7,92.96,,,,,,,,,,,,,,,,,
viteee,INR,50.0,0%,0%,Low,30.0,9.27,88.87,,,,,,,,,,,,,,,,,
jee mock test,INR,50.0,0%,0%,Medium,57.0,10.4,16.96,,,,,,,,,,,,,,,,,
jee coaching near me,INR,50.0,0%,0%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
best jee coaching,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for iit jee,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit jee coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics wallah jee course fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee main mock test free,INR,50.0,0%,0%,Medium,60.0,11.16,24.93,,,,,,,,,,,,,,,,,
jee mains mock test free online,INR,50.0,∞,∞,Medium,57.0,11.58,27.38,,,,,,,,,,,,,,,,,
jee mock test free,INR,50.0,0%,0%,Medium,60.0,11.16,24.93,,,,,,,,,,,,,,,,,
jee main exam,INR,50.0,0%,0%,Low,20.0,4.66,85.73,,,,,,,,,,,,,,,,,
jee main coaching centre near me,INR,50.0,0%,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best online coaching for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for iit,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit coaching centres near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee mains coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pw online classes fees for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for jee near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee online coaching fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online jee coaching fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics wallah jee course fees online,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet jee coaching near me,INR,50.0,0%,0%,Low,3.0,,0.0,,,,,,,,,,,,,,,,,
pw jee course fees,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best test series for jee,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best online coaching for jee advanced,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for iit jee free,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
allen online coaching for iit jee fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online classes for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
