Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
buy house near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for sale near me,INR,50.0,0%,0%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
homes for sale near me,INR,50.0,0%,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
realtors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate agents near me,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
small office space for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office space for rent near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new homes for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property for sale near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best real estate agent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new houses for sale near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best realtor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial property for sale near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
apartments for sale near me,INR,50.0,0%,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
condos near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
space for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial space for rent near me,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
real estate companies near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
office space for lease near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap houses for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
buildings for sale near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
shops for rent near me,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
rental property near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial property for rent near me,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
office rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate brokers near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
furnished apartments for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small restaurant space for rent near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental agencies near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
flats for sale near me,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
business space for rent near me,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
new houses near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cheap homes for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial lease near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial rentals near me,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
homes for sale near me now,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for sale near me by owner,INR,50.0,0%,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
flats near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property agents near me,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
commercial property for lease near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial buildings for sale near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
commercial buildings for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good realtors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes to buy near me,INR,50.0,0%,0%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
rent a office space near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
realty companies near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
property dealer near me,INR,50.0,0%,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
commercial space for lease near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
realtor agents near me,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
commercial property near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house to sell near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
gated apartments near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
rent flats near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
houses for sale near me now,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
furnished office space for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best real estate agents,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home listings near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
realtor companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
