Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
dermatologist near me,INR,500.0,0%,0%,Low,23.0,18.19,87.0,,,,,,,,,,,,,,,,,
cutis clinic,INR,500.0,0%,0%,Low,6.0,3.43,58.98,,,,,,,,,,,,,,,,,
derma near me,INR,500.0,0%,0%,Low,23.0,18.19,87.0,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,0%,0%,Low,23.0,18.19,87.0,,,,,,,,,,,,,,,,,
skin dr near me,INR,500.0,0%,0%,Low,20.0,11.5,49.68,,,,,,,,,,,,,,,,,
derm near me,INR,500.0,0%,0%,Low,23.0,18.19,87.0,,,,,,,,,,,,,,,,,
skin treatment clinic near me,INR,500.0,-90%,-90%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
skin care clinic near me,INR,500.0,-90%,-90%,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
dr dermatologist near me,INR,500.0,0%,0%,Low,20.0,11.5,49.68,,,,,,,,,,,,,,,,,
best skincare doctor near me,INR,50.0,0%,∞,Medium,48.0,,0.0,,,,,,,,,,,,,,,,,
best acid peel,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
oliva skin clinic treatment prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
average cost of hydrafacial,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acid peel near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
chemical peel cost kaya,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best peeling solution for face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser skin resurfacing treatment,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin care clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spot laser treatment price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dr priya's skin & hair clinic dermatologist with skincare clinic,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin specialist doctor near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pimple dr near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial cost machine,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
laser removal dark spots cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for face,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
dermacare clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
price for hydrafacial,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
co2 laser resurfacing price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best lady dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost for hydrafacial,INR,50.0,0%,0%,Low,16.0,,0.0,,,,,,,,,,,,,,,,,
dark underarms treatment dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin and hair dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin & hair clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
platinum hydrafacial cost,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
pigmentation peel treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best hair and skin clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
milan skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair and skin specialist doctor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best doctor near me for hair loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pigmentation removal cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best derma clinic near me,INR,50.0,∞,∞,Medium,62.0,,0.0,,,,,,,,,,,,,,,,,
laser facial rejuvenation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
the best skin clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best lactic acid peel,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spots and pigmentation treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin expert clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good skin doctors near me,INR,50.0,0%,0%,Medium,38.0,5.09,65.21,,,,,,,,,,,,,,,,,
phenol peel price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
signature hydrafacial price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
special dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spot removal laser treatment cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pigmentation melasma treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
feather skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser resurfacing treatment cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
famous skin specialist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin n hair clinic near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial md machine cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
nearby best dermatologist,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin resurfacing treatment cost,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
peeling chemical peel,INR,50.0,0%,0%,High,92.0,2.9,162.84,,,,,,,,,,,,,,,,,
treat skin pigmentation,INR,50.0,0%,∞,High,100.0,21.25,180.53,,,,,,,,,,,,,,,,,
aura skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
derm clinic near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist for lips near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lhr treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
reborn skin and hair clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap and best dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
treatment for forehead lines,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for pigmentation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lady dermatologist near me for skin,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
carves skin clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
melasma peel treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
