Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
dental near ne,INR,500.0,0%,0%,Low,4.0,0.73,433.88,,,,,,,,,,,,,,,,,
dentist near me near me,INR,500.0,0%,0%,Low,4.0,0.73,433.88,,,,,,,,,,,,,,,,,
dental clinic close to me,INR,500.0,0%,0%,Low,7.0,1.15,40.32,,,,,,,,,,,,,,,,,
dental clinic near me,INR,500.0,0%,0%,Low,7.0,1.15,40.32,,,,,,,,,,,,,,,,,
dental clinic in near me,INR,500.0,0%,0%,Low,7.0,1.15,40.32,,,,,,,,,,,,,,,,,
dentist near me,INR,500.0,0%,0%,Low,4.0,0.73,433.88,,,,,,,,,,,,,,,,,
removable dental implants cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth bleaching price,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
zoom dental whitening,INR,50.0,0%,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
pediatric dental care near me,INR,50.0,0%,0%,Low,3.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic price list near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top dental clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental implants how much,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
on all 4 dental implants,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
smiles near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cheap and best dental clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth whitening treatment cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
apollo dental clinic near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental 24 7 near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
smile clinic near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top 10 dental clinic near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental transplant cost,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
aesthetic dental clinic,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
tooth replacement price,INR,50.0,0%,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
teeth washing near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
average price of implants,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
teeth whitening dentist price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fake teeth price,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
price of one dental implant,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
veneer whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
temporary teeth whitening,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth bleaching dentist,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
dentist for teeth cleaning near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
teeth cleaning and whitening cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
smile dental care near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bonding near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
professional dentist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top pediatric dentist near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
special dentist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
orthodontist doctor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
artificial teeth price,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
pap whitening,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
