Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,Medium,57.0,9.19,33.54,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad consultancy near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam,INR,50.0,0%,0%,Medium,57.0,9.19,33.54,,,,,,,,,,,,,,,,,
best ielts preparation online,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad study consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test,INR,50.0,0%,0%,Medium,57.0,9.19,33.54,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas education consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts coaching centre,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad education consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best abroad education consultants,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
abroad study agency near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best agencies to study abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best agency for abroad study,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching center for ielts,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aecc study abroad consultant,INR,50.0,∞,∞,High,95.0,122.14,416.33,,,,,,,,,,,,,,,,,
aecc study abroad consultants,INR,50.0,∞,∞,High,95.0,122.14,416.33,,,,,,,,,,,,,,,,,
ajinorah near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultants for abroad education,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts academic cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
