Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
interior designers near me,INR,50.0,0%,0%,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
wardrobe designs,INR,50.0,900%,0%,High,92.0,10.87,29.31,,,,,,,,,,,,,,,,,
bathroom remodel near me,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
kitchen remodel near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen,INR,50.0,0%,0%,Medium,58.0,17.62,95.34,,,,,,,,,,,,,,,,,
kitchen designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen design,INR,50.0,0%,0%,High,71.0,19.84,96.69,,,,,,,,,,,,,,,,,
kitchen interior design,INR,50.0,900%,0%,Low,26.0,15.66,32.82,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home remodeling contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design near me,INR,50.0,∞,0%,Low,16.0,,0.0,,,,,,,,,,,,,,,,,
home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen near me,INR,50.0,∞,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
home renovations near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen designs,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior designer near me,INR,50.0,∞,∞,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
renovators near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design companies near me,INR,50.0,∞,0%,Low,16.0,,0.0,,,,,,,,,,,,,,,,,
house renovation cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
renovation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design firms near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home renovation cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house remodel cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,∞,∞,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,∞,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
home renovation services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior contractors near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
patio remodel near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen reno cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home improvement contractor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,0%,0%,Medium,48.0,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design for home cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe designers near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design price list,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
remodel kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior decorators near me,INR,50.0,∞,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
shop interior designer near me,INR,50.0,∞,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
kitchen redesign cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
house remodeling companies near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior decorator near me,INR,50.0,∞,∞,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
home remodel cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom remodeling costs,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
whole house renovation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design for home near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
