Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
derma near me,INR,500.0,0%,0%,Low,14.0,20.85,159.6,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,0%,0%,Low,14.0,20.85,159.6,,,,,,,,,,,,,,,,,
dr dermatologist near me,INR,500.0,0%,0%,Low,12.0,16.7,51.16,,,,,,,,,,,,,,,,,
derm near me,INR,500.0,0%,0%,Low,14.0,20.85,159.6,,,,,,,,,,,,,,,,,
skin dr near me,INR,500.0,0%,0%,Low,12.0,16.7,51.16,,,,,,,,,,,,,,,,,
dermatologist near me,INR,500.0,0%,0%,Low,14.0,20.85,159.6,,,,,,,,,,,,,,,,,
best skin and hair specialist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best cure for hyperpigmentation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
nearby skin care clinic,INR,50.0,0%,∞,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
laser hair reduction treatment,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair care doctors near me,INR,50.0,0%,∞,Low,27.0,,0.0,,,,,,,,,,,,,,,,,
permanent hair reduction,INR,50.0,0%,0%,High,93.0,35.86,120.98,,,,,,,,,,,,,,,,,
laser treatment for upper lip cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
lhr treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin rejuvenation cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair specialist doctors near me,INR,50.0,0%,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
age spot laser removal cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me dermatologist clinic,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pedia dermatologist near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
face fillers price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin & hair clinic,INR,50.0,∞,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
