Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gymnasium near me,INR,5000.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym near me,INR,5000.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,0%,0%,Low,3.0,9.48,31.19,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,0%,0%,Low,3.0,9.48,31.19,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,0%,0%,Low,3.0,9.48,31.19,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
best gym workouts for women,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me under 500,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
women's fitness gym near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
cult pro gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best women's gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 hours open gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga centre near me for ladies,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
for weight loss diet plan,INR,50.0,0%,0%,Medium,48.0,1.07,37.34,,,,,,,,,,,,,,,,,
gym near me and price,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
gym yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym with female trainer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
athletic centers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies exercise classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
spa and health club near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap gym near me with fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aqua fit near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me only for ladies,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
anytime fitness gym near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me low price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
womens fitness club near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
body fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iyengar yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best diet plan for muscle gain and fat loss,INR,50.0,∞,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
gym low price near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
muscle gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
