Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
taxi cab booking,INR,500.0,-90%,0%,High,86.0,5.05,9.97,,,,,,,,,,,,,,,,,
taxis service,INR,500.0,-90%,-90%,Low,14.0,10.88,27.09,,,,,,,,,,,,,,,,,
taxi cab service,INR,500.0,-90%,-90%,Low,14.0,10.88,27.09,,,,,,,,,,,,,,,,,
best wedding cars,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lamborghini car rental price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best autonomous cars,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
seven seater car for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
exotic car rental prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self drive rental cars near me,INR,50.0,∞,∞,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
innova car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
taxi at airport,INR,50.0,0%,0%,Medium,51.0,14.64,55.92,,,,,,,,,,,,,,,,,
outstation cabs near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
auto hire near me,INR,50.0,0%,0%,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
luxury car hire prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost to rent a lamborghini,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car hire for wedding near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
car self drive rental near me,INR,50.0,0%,∞,High,79.0,,0.0,,,,,,,,,,,,,,,,,
driver on rent near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
12 seater car for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car for rent near me self drive,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
thar for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
taxi in airport,INR,50.0,0%,0%,Medium,51.0,14.64,55.92,,,,,,,,,,,,,,,,,
cab on rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car for marriage rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
auto on rent near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental driver near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tata ace on rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
www car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
prepaid taxi near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ertiga on rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
thar rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self car drive rental near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
self drive near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of taxi,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
thar on rent near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
car rental self drive near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
travels near me car rental,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
cab for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wedding rental cars near me,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
hire 7 seater car near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
9 seater car for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental service near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sporty car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private car for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental cars in near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
zoom car near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental for 3 days near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car hire place near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hire rental car near me,INR,50.0,0%,0%,Medium,36.0,5.96,23.35,,,,,,,,,,,,,,,,,
6 seater car for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ev car rentals near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rent a driver near me,INR,50.0,0%,0%,Medium,39.0,,0.0,,,,,,,,,,,,,,,,,
rent a 7 seater car near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rolls royce ghost rental price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
automatic cars for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
chauffeur hire near me,INR,50.0,0%,0%,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
taxi service close to me,INR,50.0,0%,0%,Medium,36.0,8.9,25.41,,,,,,,,,,,,,,,,,
