Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gym near me,INR,5000.0,0%,0%,Low,2.0,14.93,95.11,,,,,,,,,,,,,,,,,
gymnasium near me,INR,5000.0,0%,0%,Low,2.0,14.93,95.11,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,0%,0%,Low,2.0,14.93,95.11,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,0%,Low,2.0,14.93,95.11,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,0%,Low,2.0,14.93,95.11,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,0%,0%,Low,4.0,2.22,50.55,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,0%,0%,Low,4.0,2.22,50.55,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,0%,0%,Low,4.0,2.22,50.55,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
yoga centre near me for ladies,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me m,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best women's gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cult pro gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me and price,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
gym yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
muscle gym near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga and fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
spartan gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitpass near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
boxing classes near me with fees,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best workout for gaining muscle,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
women's fitness studio near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
for weight loss diet plan,INR,50.0,0%,0%,Medium,39.0,5.4,34.09,,,,,,,,,,,,,,,,,
aqua fit near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym packages near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
powerhouse gym cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me only for ladies,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
boxing gym near me prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
anytime fitness gym near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me low price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
health club membership near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga and gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym ladies only near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
women's fitness gym near me,INR,50.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
fitness first membership cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
professional gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
xtreme fitness near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
near by gym and fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,50.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
aesthetic gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
body fitness near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best strength exercises for runners,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near by me with fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dance fitness studio near me,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
gym with female trainer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me under 500,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
per day gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
anytimefitness near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym price per month,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me best gym,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitness centre near me for ladies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me ladies gym,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
