Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,Low,32.0,6.14,34.44,,,,,,,,,,,,,,,,,
study abroad consultants,INR,50.0,0%,0%,High,70.0,28.84,419.03,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
ielts coaching,INR,50.0,0%,0%,Medium,46.0,32.67,98.99,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,0%,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
ielts reading practice test,INR,50.0,0%,0%,Medium,36.0,0.68,33.54,,,,,,,,,,,,,,,,,
ielts mock test online,INR,50.0,0%,0%,High,83.0,11.46,61.13,,,,,,,,,,,,,,,,,
ielts institute near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad education consultants,INR,50.0,0%,0%,High,70.0,28.84,419.03,,,,,,,,,,,,,,,,,
ielts training near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts course near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pte coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad consultancy near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
free ielts course,INR,50.0,∞,0%,High,89.0,14.72,54.6,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam,INR,50.0,0%,0%,Low,32.0,6.14,34.44,,,,,,,,,,,,,,,,,
best ielts preparation online,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad study consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts reading mock test,INR,50.0,0%,0%,Medium,36.0,0.68,33.54,,,,,,,,,,,,,,,,,
best ielts online course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test,INR,50.0,0%,0%,Low,32.0,6.14,34.44,,,,,,,,,,,,,,,,,
foreign study consultancy,INR,50.0,0%,0%,High,70.0,28.84,419.03,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching,INR,50.0,0%,0%,Medium,46.0,32.67,98.99,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas education consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam online,INR,50.0,0%,0%,High,83.0,11.46,61.13,,,,,,,,,,,,,,,,,
best ielts course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for mbbs abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas study consultants,INR,50.0,0%,0%,High,70.0,28.84,419.03,,,,,,,,,,,,,,,,,
abroad studies consultancy near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
study abroad agency near me,INR,50.0,0%,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
abroad consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mbbs abroad consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts training institute near me,INR,50.0,∞,∞,Low,24.0,,0.0,,,,,,,,,,,,,,,,,
ielts coaching in near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best abroad consultancy,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts coaching institute near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best abroad education consultants,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best online course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts free classes,INR,50.0,∞,0%,High,89.0,14.72,54.6,,,,,,,,,,,,,,,,,
ielts coaching free,INR,50.0,∞,0%,High,89.0,14.72,54.6,,,,,,,,,,,,,,,,,
online best ielts coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
course ielts free,INR,50.0,∞,0%,High,89.0,14.72,54.6,,,,,,,,,,,,,,,,,
best agency for abroad study,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test online,INR,50.0,0%,0%,High,83.0,11.46,61.13,,,,,,,,,,,,,,,,,
mock exam ielts online,INR,50.0,0%,0%,High,83.0,11.46,61.13,,,,,,,,,,,,,,,,,
ielts test mock online,INR,50.0,0%,0%,High,83.0,11.46,61.13,,,,,,,,,,,,,,,,,
best consultancy for abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultants for abroad education,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts practice test,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts training near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts academic cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts academies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam reading practice test,INR,50.0,0%,0%,Medium,36.0,0.68,33.54,,,,,,,,,,,,,,,,,
