Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
clothes cupboard design,INR,500.0,0%,0%,High,91.0,9.07,19.58,,,,,,,,,,,,,,,,,
wardroom design,INR,500.0,0%,0%,High,91.0,9.07,19.58,,,,,,,,,,,,,,,,,
wardrobe designs,INR,500.0,0%,0%,High,91.0,9.07,19.58,,,,,,,,,,,,,,,,,
modular kitchen design,INR,500.0,0%,-90%,Low,30.0,5.8,74.59,,,,,,,,,,,,,,,,,
kitchen interior design,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
gypsum board false ceiling cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home remodeling contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen design near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,Low,30.0,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen contractors near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Low,22.0,5.45,221.52,,,,,,,,,,,,,,,,,
home remodeling near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen,INR,50.0,900%,0%,Medium,45.0,14.78,269.55,,,,,,,,,,,,,,,,,
bath remodel near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
clinic partition design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of home interior designer,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of pop false ceiling,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic front design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic interior,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic layout,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic partition design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic reception design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic setup design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic wall design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
doctor clinic interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
double door steel almirah designs with price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling design cost per square feet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling electrical wiring cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fiber false ceiling near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
grid false ceiling price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Low,22.0,5.45,221.52,,,,,,,,,,,,,,,,,
home renovation cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house remodel cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,0%,∞,Medium,60.0,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,0%,0%,Medium,39.0,90.16,438.15,,,,,,,,,,,,,,,,,
kitchen design companies near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovations near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior contractors near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
contractors near me for home renovation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen reno cost,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home improvement contractor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,0%,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
room mirror price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home cost,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
house renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design price list,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation services,INR,50.0,∞,0%,High,76.0,46.39,123.23,,,,,,,,,,,,,,,,,
remodel kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior decorators near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
local decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
custom wardrobes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
shop interior designer near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen redesign cost,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
office decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
old home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
affordable interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior decorator near me,INR,50.0,0%,0%,Medium,39.0,90.16,438.15,,,,,,,,,,,,,,,,,
home remodel cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom remodeling costs,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
room designers near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design cost,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design studios near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
sleek kitchen near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
clinic interior design,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design office near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
