Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
kitchen interior design,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
design kitchen interior,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
kitchen interior decoration,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
kitchen and interior design,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
kitchen design interior design,INR,500.0,0%,0%,Medium,37.0,17.24,45.59,,,,,,,,,,,,,,,,,
low cost kitchen cabinets,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of cabinets,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet maker near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cabinet prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
readymade kitchen cabinets price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen showroom near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
pvc modular kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cabinet maker near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet prices,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen cabinets price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design cost,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design near me,INR,50.0,0%,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
kitchen cupboards prices,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc modular kitchen price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cabinet wood types and costs,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc kitchen cabinets price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen dealers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic sheet for kitchen price per sq ft,INR,50.0,0%,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
interior design for kitchen cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen wardrobe price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic modular kitchen cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc cupboards price per square feet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic modular kitchen price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aluminium kitchen cabinet price,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet cheap price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc kitchen cabinets cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic sheet price for kitchen,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aluminium kitchen cabinet cost,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
cost of aluminium kitchen cabinets,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen wardrobe design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic sheet for kitchen price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen acrylic sheet price,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
stainless steel kitchen cabinets price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinets and prices,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
stainless steel kitchen cabinets cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinets cost per square foot,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen pantry unit price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aluminium cabinet for kitchen price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acrylic kitchen cabinets price,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
steel kitchen cabinets price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
