Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
houses for let near me,INR,500.0,0%,0%,Low,17.0,0.55,13.62,,,,,,,,,,,,,,,,,
realtor estate,INR,500.0,900%,0%,Low,10.0,27.93,104.09,,,,,,,,,,,,,,,,,
2 bhk house for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
2 bedroom flats for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
studio apartment for sale near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
two bedroom apartment for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home listings for sale near me,INR,50.0,0%,0%,Medium,42.0,0.81,48.97,,,,,,,,,,,,,,,,,
studio flats to rent near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
new homes on sale near me,INR,50.0,0%,0%,Medium,40.0,,0.0,,,,,,,,,,,,,,,,,
2 bhk apartment for sale near me,INR,50.0,∞,∞,High,67.0,0.54,31.36,,,,,,,,,,,,,,,,,
burj khalifa flat price in indian rupees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
factory space for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best real estate broker,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes and property for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 4 bedroom houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small properties for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me sale house,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best real estate mutual funds,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
real estate income trust,INR,50.0,0%,0%,Low,32.0,20.54,61.32,,,,,,,,,,,,,,,,,
ready to move apartments near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
5 to 6 bedroom houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
buy an apartment near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
1 bhk flat rent near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
apartment for purchase near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
villa sale near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
cheap shop for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
apartment buy near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
1 bhk flat for rent near me under 5000,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for sale on land near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house rent brokers near me,INR,50.0,∞,∞,Low,18.0,,0.0,,,,,,,,,,,,,,,,,
luxury home near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
any house for sale near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
3 bedroom house sale near me,INR,50.0,∞,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
rental homes for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property to sell near me,INR,50.0,0%,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
houses close to me for sale,INR,50.0,0%,0%,Medium,42.0,0.81,48.97,,,,,,,,,,,,,,,,,
3 bedroom apartment for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
newly constructed homes for sale near me,INR,50.0,∞,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
commercial plot for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
single bedroom house for rent near me,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
house sales agents near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for sale near me,INR,50.0,0%,0%,Medium,42.0,0.81,48.97,,,,,,,,,,,,,,,,,
vacant shops for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes to sell near me,INR,50.0,∞,0%,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
homes for sale close to me,INR,50.0,0%,0%,Medium,42.0,0.81,48.97,,,,,,,,,,,,,,,,,
industrial building for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best villas,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for purchase near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes near me for sale by owner,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
buy property near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial buildings near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
shops on rent near me,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
farmhouse for rent near me,INR,50.0,∞,0%,Medium,48.0,,0.0,,,,,,,,,,,,,,,,,
business property for rent near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
commercial lots for rent near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
single house for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home buy near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
studio flats near me,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
commercial real estate lease near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
1 bhk flat for sale near me,INR,50.0,0%,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
one bedroom house for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
newly built houses for sale near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
