Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
math tutor near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tutors near me,INR,50.0,0%,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
private tutors near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
english tutors near me,INR,50.0,0%,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
home tutor near me,INR,50.0,0%,0%,Medium,44.0,2.59,7.92,,,,,,,,,,,,,,,,,
maths tuition near me,INR,50.0,0%,∞,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
home tuition near me,INR,50.0,0%,0%,Low,6.0,,0.0,,,,,,,,,,,,,,,,,
private math tutors near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
french tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sat coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
english tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
german tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private tuition near me,INR,50.0,∞,0%,High,71.0,,0.0,,,,,,,,,,,,,,,,,
personal tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tutoring near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gre classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
science tuition near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gmat tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gmat classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
