Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
car rental near me,INR,50.0,900%,900%,Low,12.0,2.62,14.49,,,,,,,,,,,,,,,,,
car hire near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
airport taxi,INR,50.0,∞,∞,Medium,51.0,18.99,76.37,,,,,,,,,,,,,,,,,
minivan rental near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
vehicle rental near me,INR,50.0,900%,900%,Low,12.0,2.62,14.49,,,,,,,,,,,,,,,,,
taxi cab near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
auto rental near me,INR,50.0,900%,900%,Low,12.0,2.62,14.49,,,,,,,,,,,,,,,,,
airport taxi near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best car rentals,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jeep rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local car rentals near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rent a pickup truck near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
7 seater car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental services near me,INR,50.0,∞,∞,Medium,62.0,2.56,7.39,,,,,,,,,,,,,,,,,
7 seater car hire near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
long term car rental near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self drive cars near me,INR,50.0,0%,0%,Low,31.0,7.47,18.08,,,,,,,,,,,,,,,,,
car travels near me,INR,50.0,0%,0%,Medium,53.0,3.28,6.55,,,,,,,,,,,,,,,,,
wedding car hire near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local car hire near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental agencies near me,INR,50.0,900%,900%,Low,12.0,2.62,14.49,,,,,,,,,,,,,,,,,
