Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gym near me,INR,5000.0,0%,900%,Low,1.0,0.62,181.16,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,900%,Low,1.0,0.62,181.16,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,0%,900%,Low,1.0,0.62,181.16,,,,,,,,,,,,,,,,,
gymnasium near me,INR,5000.0,0%,900%,Low,1.0,0.62,181.16,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,900%,Low,1.0,0.62,181.16,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms near me ladies,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,900%,900%,Low,3.0,2.72,26.05,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
ladies gym near me,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
ladies gym in near me,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,900%,900%,Low,3.0,2.72,26.05,,,,,,,,,,,,,,,,,
gym near me ladies,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,900%,900%,Low,3.0,2.72,26.05,,,,,,,,,,,,,,,,,
gym ladies near me,INR,500.0,-90%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
muscle gym near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 fitness gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me and price,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
for weight loss diet plan,INR,50.0,0%,0%,Medium,41.0,4.68,43.87,,,,,,,,,,,,,,,,,
gym near me fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga centre near me for ladies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gold's gym monthly membership cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 hours open gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cult pro gym near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 fitness cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
women's fitness gym near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
yoga and fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
health club membership near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fit for life gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga and gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
iyengar yoga classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best diet plan for muscle gain and fat loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best upper body workout for women,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym ladies only near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near by me with fees,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitness first membership cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
xtreme fitness near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best lower body workout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
golds gym membership costs,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
aesthetic gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitness gym for ladies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
vip gym near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cult fit gym fees,INR,50.0,0%,0%,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
best aerobics classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitness gym near me for ladies,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best strength workout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cardio exercise near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym 24 hours open near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dumbbell workout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitness for ladies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
anytimefitness near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fit near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best veg diet plan for weight loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me gym for ladies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me best gym,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
lady fitness near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
boxing classes near me with fees,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies gym only near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me women,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitness centre near me for ladies,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
near me ladies gym,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iron gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitness center near me for ladies,INR,50.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
gym for women's only near me,INR,50.0,0%,0%,Low,3.0,,0.0,,,,,,,,,,,,,,,,,
womens fitness club near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
healthy balanced diet plan for weight loss,INR,50.0,∞,0%,Medium,51.0,1.81,24.61,,,,,,,,,,,,,,,,,
gym near me and fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best strength training workout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dance fitness studio near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best workout for gaining muscle,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitpass near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best and cheap gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cardio gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym monthly fees near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lady gym trainer near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
budget gym near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best diet plan for fast weight loss,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best gym supplements for muscle growth,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best weight loss challenge,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low budget gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me open now,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best gym near me for ladies,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
24x7 gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym for ladies near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
pink gym near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym dance classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
calisthenics workout near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ladies gym near me with fees under 500,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
all ladies gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym classes near me for ladies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online dietician for weight loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me fitness gym,INR,50.0,0%,0%,Low,3.0,,0.0,,,,,,,,,,,,,,,,,
ladies fitness center near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gold's membership price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bodybuilding supplements near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ladies gym near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
isha yoga center near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best intermittent fasting plan for weight loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cult fit gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gold gym monthly fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best plan to lose weight in a month,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
