Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
wardrobe designs,INR,500.0,900%,900%,High,92.0,6.68,25.87,,,,,,,,,,,,,,,,,
kitchen interior design,INR,500.0,900%,0%,Medium,38.0,9.97,60.6,,,,,,,,,,,,,,,,,
clothes cupboard design,INR,500.0,900%,900%,High,92.0,6.68,25.87,,,,,,,,,,,,,,,,,
wardroom design,INR,500.0,900%,900%,High,92.0,6.68,25.87,,,,,,,,,,,,,,,,,
kitchen designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
bathroom remodel near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
interior designers near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,900%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen design,INR,50.0,0%,0%,High,67.0,13.37,81.67,,,,,,,,,,,,,,,,,
home repair contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home remodeling contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen,INR,50.0,0%,0%,High,84.0,29.07,95.64,,,,,,,,,,,,,,,,,
renovation contractors near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bedroom wardrobe design,INR,50.0,0%,0%,High,78.0,10.26,60.69,,,,,,,,,,,,,,,,,
modular kitchen near me,INR,50.0,0%,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
home renovations near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home decorators near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best kitchen designs,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior designer near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
kitchen makeover cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
renovators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design companies near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
affordable interior designers near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
house renovation cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
addition contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house remodel cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office interior designers near me,INR,50.0,0%,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
kitchen design companies near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,∞,0%,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
home renovation services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen reno cost,INR,50.0,900%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home improvement contractor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,0%,0%,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,900%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design price list,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
remodel kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior decorators near me,INR,50.0,∞,0%,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local decorators near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen renovations,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
shop interior designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen redesign cost,INR,50.0,900%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
old home renovation contractors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen layouts,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheapest interior designer near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
home interior decorator near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
home remodel cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom remodeling costs,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
dental clinic design,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design near me,INR,50.0,0%,∞,Low,26.0,,0.0,,,,,,,,,,,,,,,,,
interior design studios near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,0%,0%,High,96.0,90.4,204.48,,,,,,,,,,,,,,,,,
sleek kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
clinic interior design,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designer near me,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
best office design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good interior designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local decorator near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic interior design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best renovation contractor,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house interior designers near me,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
home interior cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office interior design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home remodeling services near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
bedroom renovation cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design for bedroom,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design shop near me,INR,50.0,0%,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
best office interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling work near me,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior design,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house renovation services near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best modular kitchen design,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
residential interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
room wardrobe design,INR,50.0,0%,0%,High,78.0,10.26,60.69,,,,,,,,,,,,,,,,,
kitchen interior design near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top rated interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design firms near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home renovation cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design for 2bhk flat cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
simple kitchen design low cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house interior design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design cost for 1 bhk,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best false ceiling design,INR,50.0,∞,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
modern kitchen sink design with price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen cabinets price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best office layout,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small modular kitchen price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design at low cost,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
home interior design price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low cost simple kitchen designs,INR,50.0,0%,0%,High,83.0,,0.0,,,,,,,,,,,,,,,,,
interior firms near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen trolley designs with price,INR,50.0,∞,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
