Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
mcc neet pg,INR,500.0,0%,0%,Low,2.0,39.86,59.93,,,,,,,,,,,,,,,,,
neet mock test,INR,50.0,0%,0%,Medium,41.0,0.84,22.96,,,,,,,,,,,,,,,,,
best neet institute,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet coaching centres near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for neet,INR,50.0,0%,0%,Low,21.0,,0.0,,,,,,,,,,,,,,,,,
best online coaching for neet,INR,50.0,0%,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
neet coaching near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet coaching classes near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet institute near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best neet coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching institute for neet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dams neet pg,INR,50.0,0%,∞,Medium,50.0,27.15,62.1,,,,,,,,,,,,,,,,,
neet academy near me,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
best online classes for neet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet classes near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
