Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
math tutor near me,INR,50.0,∞,0%,Low,11.0,,0.0,,,,,,,,,,,,,,,,,
tutors near me,INR,50.0,0%,0%,Low,19.0,,0.0,,,,,,,,,,,,,,,,,
private tutors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me,INR,50.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
english tutors near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
home tutor near me,INR,50.0,0%,0%,Low,15.0,,0.0,,,,,,,,,,,,,,,,,
maths tuition near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
home tuition near me,INR,50.0,0%,0%,Low,10.0,,0.0,,,,,,,,,,,,,,,,,
private math tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
english tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
german tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
personal tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sat preparation classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
science tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tutor near me math,INR,50.0,∞,0%,Low,11.0,,0.0,,,,,,,,,,,,,,,,,
mathematics tutor near me,INR,50.0,∞,0%,Low,11.0,,0.0,,,,,,,,,,,,,,,,,
math teacher near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
chemistry tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gmat coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths home tutors near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best tuition near me,INR,50.0,0%,∞,Low,17.0,,0.0,,,,,,,,,,,,,,,,,
face to face maths tutor near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
home tuition for class 1 to 5 near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
math learning center near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
1 to 1 tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
math coaching near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
sat test prep classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
english home tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mathematics tuition near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
female home tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private home tutoring near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths tuition centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best home tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best maths tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths home tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths and science tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
economics tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best home tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
computer tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition classes near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tutors near me physics,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
find students for home tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
computer home tutor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
icse tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best usmle prep courses,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private home tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gre courses online,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private tuition classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me for class 10,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mathematics teacher near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
10th class tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home tuition near me for class 10,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me for class 1,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
