Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
taxi cab service near me,INR,500.0,0%,0%,Low,28.0,11.82,65.13,,,,,,,,,,,,,,,,,
taxi cab service,INR,500.0,0%,0%,Low,12.0,16.21,86.63,,,,,,,,,,,,,,,,,
near me rental car,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
car in rent near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
near me car rental,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
near me rent a car,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
automobile rentals near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
rent of car near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
rent a car near by me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
car rental agencies near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
car rental car near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
cars on rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
rent car near by me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
rental car rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
rent a car in near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
taxi service close to me,INR,500.0,0%,0%,Low,28.0,11.82,65.13,,,,,,,,,,,,,,,,,
hire rental car near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
taxis service,INR,500.0,0%,0%,Low,12.0,16.21,86.63,,,,,,,,,,,,,,,,,
car rental in near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
car rental near to me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
hire car rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
car rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
vehicle rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
auto rental near me,INR,500.0,0%,0%,Low,23.0,3.95,23.84,,,,,,,,,,,,,,,,,
outstation cabs near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car hire near me,INR,50.0,0%,0%,Low,21.0,,0.0,,,,,,,,,,,,,,,,,
cheap car rentals near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
innova for rent near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost to rent a lamborghini,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
taxi cab booking,INR,50.0,0%,0%,High,76.0,6.54,29.52,,,,,,,,,,,,,,,,,
rent a supra near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car hire for wedding near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wedding car booking near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car self drive rental near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental automatic near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
travels near me car rental,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cars for monthly rent near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
lambo rental price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
airport taxi,INR,50.0,0%,0%,High,82.0,21.16,56.17,,,,,,,,,,,,,,,,,
taxi airport near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
super cars for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cars available for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rent a van near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
rental car with driver near me,INR,50.0,0%,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
intercity cab booking,INR,50.0,∞,∞,High,90.0,5.33,15.49,,,,,,,,,,,,,,,,,
