Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gym near me,INR,5000.0,0%,0%,Low,1.0,22.65,116.85,,,,,,,,,,,,,,,,,
gymbox near me,INR,5000.0,0%,0%,Low,1.0,22.65,116.85,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,0%,Low,1.0,22.65,116.85,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,0%,Low,1.0,22.65,116.85,,,,,,,,,,,,,,,,,
gymnasium near me,INR,5000.0,0%,0%,Low,1.0,22.65,116.85,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,500.0,0%,0%,Low,5.0,2.44,29.28,,,,,,,,,,,,,,,,,
workout centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
weight lifting weights,INR,500.0,0%,-90%,Medium,50.0,2.61,60.14,,,,,,,,,,,,,,,,,
ladies fitness gym near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
female gyms near me,INR,500.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
ladies gym near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
ladies gym in near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
women's fitness gym near me,INR,500.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
workout gyms near me,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
boxing workout near me,INR,500.0,0%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gyms near me ladies,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,500.0,0%,0%,Low,5.0,2.44,29.28,,,,,,,,,,,,,,,,,
gym women near me,INR,500.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
women's gym near me,INR,500.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym ladies near me,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
boxing classes near me,INR,500.0,0%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
ladies fitness center near me,INR,500.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
yoga classes near me,INR,500.0,0%,0%,Low,5.0,2.44,29.28,,,,,,,,,,,,,,,,,
gym near me ladies,INR,500.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
boxing studio near me,INR,500.0,0%,-90%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
gym near by me with fees,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
female fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
24 fitness cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym with female trainer near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
popular gyms near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me under 500,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
cult pro gym near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best women's gym near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout plan for weight loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new gyms coming near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga centre near me for ladies,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym near me m,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym near me fees,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
for weight loss diet plan,INR,50.0,0%,0%,Medium,39.0,2.97,44.62,,,,,,,,,,,,,,,,,
gym near me and price,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
diet plan for stomach fat loss,INR,50.0,0%,0%,High,77.0,5.69,35.87,,,,,,,,,,,,,,,,,
gyms near me open late,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
muscle gym near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
powerhouse gym cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
spartan gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
fitpass near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
flex fitness near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym low price near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gym workout routine for muscle gain,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
gym ladies only near me,INR,50.0,∞,∞,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
elite gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
professional gym near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best diet plan for muscle gain and fat loss,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
xtreme fitness near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iyengar yoga classes near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
yoga and gym near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gym with steam bath near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
health club membership near me,INR,50.0,0%,0%,Low,18.0,,0.0,,,,,,,,,,,,,,,,,
