Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,Low,32.0,,0.0,,,,,,,,,,,,,,,,,
ielts academic,INR,50.0,0%,0%,Medium,62.0,4.44,46.15,,,,,,,,,,,,,,,,,
ielts online classes,INR,50.0,0%,0%,High,100.0,25.3,39.71,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,High,70.0,5.23,28.08,,,,,,,,,,,,,,,,,
study abroad consultants,INR,50.0,0%,0%,High,77.0,96.56,441.85,,,,,,,,,,,,,,,,,
ielts practice test,INR,50.0,0%,0%,Medium,54.0,10.49,38.95,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,Low,32.0,,0.0,,,,,,,,,,,,,,,,,
ielts online coaching,INR,50.0,0%,0%,High,90.0,29.7,196.54,,,,,,,,,,,,,,,,,
ielts coaching,INR,50.0,0%,0%,High,94.0,31.73,77.33,,,,,,,,,,,,,,,,,
ielts online course,INR,50.0,0%,0%,High,100.0,25.3,39.71,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts reading practice test,INR,50.0,0%,0%,Medium,50.0,10.36,34.88,,,,,,,,,,,,,,,,,
ielts institute near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts training online,INR,50.0,0%,0%,High,90.0,29.7,196.54,,,,,,,,,,,,,,,,,
abroad education consultants,INR,50.0,0%,0%,High,77.0,96.56,441.85,,,,,,,,,,,,,,,,,
ielts training near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts course near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pte coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam practice,INR,50.0,0%,0%,Medium,54.0,10.49,38.95,,,,,,,,,,,,,,,,,
ielts training center near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts coaching near me,INR,50.0,∞,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
best ielts preparation online free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
