Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
wadroom design,INR,500.0,900%,0%,Medium,41.0,30.75,51.47,,,,,,,,,,,,,,,,,
modular kitchen,INR,500.0,-90%,-90%,High,67.0,13.66,50.68,,,,,,,,,,,,,,,,,
wardrobe designs,INR,500.0,0%,0%,High,92.0,11.34,23.37,,,,,,,,,,,,,,,,,
kitchen modular kitchen,INR,500.0,-90%,-90%,High,67.0,13.66,50.68,,,,,,,,,,,,,,,,,
kitchen interior design,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
modular kitchen design,INR,500.0,0%,-90%,Medium,35.0,12.84,27.26,,,,,,,,,,,,,,,,,
wardroom design,INR,500.0,0%,0%,High,92.0,11.34,23.37,,,,,,,,,,,,,,,,,
clothes cupboard design,INR,500.0,0%,0%,High,92.0,11.34,23.37,,,,,,,,,,,,,,,,,
kitchen interior shop near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best bedroom wardrobe,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
simple interior design low cost,INR,50.0,∞,∞,High,67.0,,0.0,,,,,,,,,,,,,,,,,
pop ceiling work near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost to renovate entire house,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
kitchen tap design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wallpaper interior design near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best luxury interior designers,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bedroom interior design with price,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling design for hall price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design for shop near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pop false ceiling near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
architects and interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low cost home decor,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low price home decor,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior designers in near me,INR,50.0,900%,900%,Low,32.0,40.44,122.19,,,,,,,,,,,,,,,,,
interior furniture near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
furniture interior near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small clinic waiting room design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of home interior,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gypsum ceiling work near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design for maximum storage,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small clinic reception design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dental clinic design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
1 room interior design price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe interior design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
room interior design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best office interior designers,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bedroom wardrobe cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pop ceiling design price list,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen pantry unit price,INR,50.0,0%,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best dental clinic interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sink design for kitchen with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen wardrobe design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design showroom near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe design with price,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best cupboard design for bedroom,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
semi modular kitchen price,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
interior designer consultant near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior decoration shop near me,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
interior design near me now,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial interior decorators near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior designer near by me,INR,50.0,900%,900%,Low,32.0,40.44,122.19,,,,,,,,,,,,,,,,,
interior studio near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
apartment decorator near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
low cost kitchen design,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
house interior design price,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best home renovation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
apartment decorators near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
luxury interior designers near me,INR,50.0,∞,∞,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
top interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial interior decorator near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling installers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior firms near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low cost simple kitchen designs,INR,50.0,0%,0%,Low,9.0,,0.0,,,,,,,,,,,,,,,,,
