Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
kitchen interior design,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
design kitchen interior,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
kitchen design interior design,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
kitchen and interior design,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
kitchen interior decoration,INR,500.0,0%,0%,Medium,46.0,14.05,28.97,,,,,,,,,,,,,,,,,
cabinet prices,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low cost kitchen cabinets,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost of cabinets,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet prices,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,0%,∞,High,93.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,0%,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,0%,0%,Medium,63.0,16.23,57.61,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,0%,0%,Low,24.0,,0.0,,,,,,,,,,,,,,,,,
cost of cabinets for a 10x12 kitchen,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
readymade kitchen cabinets price,INR,50.0,∞,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen showroom near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet maker near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior,INR,50.0,0%,0%,High,86.0,12.25,22.79,,,,,,,,,,,,,,,,,
kitchen cabinet cost,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
cabinet maker near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet cost per foot,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low price kitchen cabinets,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen interior design,INR,50.0,0%,0%,Medium,40.0,16.2,28.89,,,,,,,,,,,,,,,,,
kitchen cabinets cost estimate,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design near me,INR,50.0,0%,0%,Low,24.0,,0.0,,,,,,,,,,,,,,,,,
pvc modular kitchen near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc modular kitchen cost per square feet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior design,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
ikea kitchens cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen cabinets price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pvc kitchen cabinets price,INR,50.0,0%,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
aluminium kitchen cabinet price,INR,50.0,0%,0%,High,67.0,,0.0,,,,,,,,,,,,,,,,,
