Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
3 bhk,INR,500.0,0%,900%,Low,2.0,13.59,82.1,,,,,,,,,,,,,,,,,
realtor estate,INR,500.0,0%,0%,Low,10.0,23.24,81.82,,,,,,,,,,,,,,,,,
houses for let near me,INR,500.0,0%,0%,Low,13.0,0.79,11.19,,,,,,,,,,,,,,,,,
best beach villas,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new flats near me for sale,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
buy 3 bedroom house near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
private villa with swimming pool,INR,50.0,0%,0%,Low,32.0,6.13,20.16,,,,,,,,,,,,,,,,,
houses cheap for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house for sale 2 bedroom near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 bedroom house sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rental homes for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
property to sell near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses close to me for sale,INR,50.0,0%,0%,Medium,51.0,1.78,38.09,,,,,,,,,,,,,,,,,
3 bedroom apartment for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
flats near me to buy,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial house for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
newly constructed homes for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial plot for sale near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
single bedroom house for rent near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
low price houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
oberoi sky city 2 bhk price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
five bedroom house for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house sales agents near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
any house for sale near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
flats on sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
burj khalifa flat price in indian rupees,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
2 bhk house for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
2 bedroom flats for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
studio apartment for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house for selling near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
new 3 bedroom houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ready to move in flats near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
near me apartment for sale,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
farm house near me for sale,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me new house for sale,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
houses available for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
building sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
4 bhk house for sale near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
1 bhk flat rent near me,INR,50.0,0%,0%,Low,6.0,,0.0,,,,,,,,,,,,,,,,,
apartment for purchase near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
beautiful houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
villa sale near me,INR,50.0,0%,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
balaji symphony 2 bhk price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap shop for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
office space prices,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
2nd hand house for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
freehold flats for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 bedroom houses near me for sale,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
apartment buy near me,INR,50.0,0%,0%,Low,21.0,,0.0,,,,,,,,,,,,,,,,,
1 bhk flat for rent near me under 5000,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
houses for sale on land near me,INR,50.0,0%,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
new 3 bed houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house and property for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
double houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
villa on rent,INR,50.0,0%,0%,Low,30.0,10.18,45.26,,,,,,,,,,,,,,,,,
properties for sale near me with land,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
house rent brokers near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abandoned home for sale near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
low cost houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial property sale near me,INR,50.0,∞,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
beach homes for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
inexpensive homes for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ready to move flats near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
shop spaces for rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
industrial warehouse for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
three bedroom homes for sale near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cheap flats to rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house for purchase near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
villa near me for sale,INR,50.0,∞,∞,High,95.0,2.9,147.96,,,,,,,,,,,,,,,,,
sobha dream acres 2 bhk price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
soneva jani price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
2 bedroom apartment for sale near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
land and property for sale near me,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
buy flats near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 bhk house for sale near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
1 bhk house for rent near me,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
restaurant rental space near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homes to sell near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
