Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
pulse skin & hair clinic,INR,500.0,0%,0%,Low,5.0,0.66,0.92,,,,,,,,,,,,,,,,,
skin clinic near me,INR,500.0,0%,0%,Low,26.0,2.83,40.73,,,,,,,,,,,,,,,,,
dr skin near me,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,-90%,0%,Low,28.0,15.02,47.43,,,,,,,,,,,,,,,,,
skin special doctor near me,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
skin specialist in near me,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
near me skin specialist,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
skin doctor near by me,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
laser light hair removal,INR,500.0,0%,0%,High,74.0,29.84,139.29,,,,,,,,,,,,,,,,,
near me skin specialist doctor,INR,500.0,0%,0%,Low,25.0,10.21,59.06,,,,,,,,,,,,,,,,,
laser hair removal laser,INR,500.0,0%,0%,High,74.0,29.84,139.29,,,,,,,,,,,,,,,,,
dr dermatologist near me,INR,500.0,0%,0%,Low,31.0,10.74,53.03,,,,,,,,,,,,,,,,,
derm near me,INR,500.0,-90%,0%,Low,28.0,15.02,47.43,,,,,,,,,,,,,,,,,
derma near me,INR,500.0,-90%,0%,Low,28.0,15.02,47.43,,,,,,,,,,,,,,,,,
the skin clinic,INR,500.0,0%,900%,Low,9.0,8.75,25.0,,,,,,,,,,,,,,,,,
laser hair reduction,INR,500.0,0%,0%,High,74.0,29.84,139.29,,,,,,,,,,,,,,,,,
