Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
digital mktg,INR,5000.0,0%,0%,Low,28.0,23.31,110.74,,,,,,,,,,,,,,,,,
ui ux,INR,500.0,-90%,-90%,Low,19.0,14.52,45.87,,,,,,,,,,,,,,,,,
learning about machine learning,INR,500.0,0%,0%,Low,9.0,20.46,75.76,,,,,,,,,,,,,,,,,
ui and ux,INR,500.0,-90%,-90%,Low,19.0,14.52,45.87,,,,,,,,,,,,,,,,,
digital garage by google,INR,500.0,-90%,-90%,Low,23.0,2.54,41.75,,,,,,,,,,,,,,,,,
course marketing digital,INR,500.0,0%,0%,Medium,53.0,22.04,172.0,,,,,,,,,,,,,,,,,
google cloud computing,INR,500.0,0%,0%,Medium,38.0,16.64,828.73,,,,,,,,,,,,,,,,,
advanced artificial intelligence course,INR,500.0,0%,900%,High,78.0,29.87,114.16,,,,,,,,,,,,,,,,,
data science classes,INR,500.0,0%,0%,Medium,53.0,38.25,160.39,,,,,,,,,,,,,,,,,
data science cours,INR,500.0,0%,0%,Medium,53.0,38.25,160.39,,,,,,,,,,,,,,,,,
web dev,INR,500.0,0%,0%,Low,10.0,13.18,50.83,,,,,,,,,,,,,,,,,
digital marketing classes,INR,500.0,0%,0%,Medium,53.0,22.04,172.0,,,,,,,,,,,,,,,,,
data analyst class,INR,500.0,900%,900%,High,68.0,33.2,127.81,,,,,,,,,,,,,,,,,
website dev,INR,500.0,0%,0%,Low,10.0,13.18,50.83,,,,,,,,,,,,,,,,,
class digital marketing,INR,500.0,0%,0%,Medium,53.0,22.04,172.0,,,,,,,,,,,,,,,,,
