Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
gymbox near me,INR,5000.0,0%,0%,Low,3.0,16.03,621.78,,,,,,,,,,,,,,,,,
gym near near me,INR,5000.0,0%,0%,Low,3.0,16.03,621.78,,,,,,,,,,,,,,,,,
gym and fitness near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
gyms and fitness centers near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
fitness gyms near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
workout gyms near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
workout centers near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
yoga sessions near me,INR,5000.0,0%,0%,Low,8.0,11.87,38.94,,,,,,,,,,,,,,,,,
yoga classes near me,INR,5000.0,0%,0%,Low,8.0,11.87,38.94,,,,,,,,,,,,,,,,,
gym near me,INR,5000.0,0%,0%,Low,3.0,16.03,621.78,,,,,,,,,,,,,,,,,
gymnasium near me,INR,5000.0,0%,0%,Low,3.0,16.03,621.78,,,,,,,,,,,,,,,,,
yoga lessons near me,INR,5000.0,0%,0%,Low,8.0,11.87,38.94,,,,,,,,,,,,,,,,,
yoga,INR,5000.0,0%,0%,Low,8.0,9.98,77.51,,,,,,,,,,,,,,,,,
fitness clubs near me,INR,5000.0,0%,0%,Low,4.0,51.35,440.54,,,,,,,,,,,,,,,,,
near gym near me,INR,5000.0,0%,0%,Low,3.0,16.03,621.78,,,,,,,,,,,,,,,,,
gyms near me ladies,INR,500.0,0%,0%,Low,2.0,1.75,437.36,,,,,,,,,,,,,,,,,
yoga for beginners,INR,500.0,-90%,0%,Low,3.0,4.68,26.03,,,,,,,,,,,,,,,,,
