Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,Medium,54.0,16.01,48.3,,,,,,,,,,,,,,,,,
ielts academic,INR,50.0,0%,0%,Medium,40.0,9.69,68.46,,,,,,,,,,,,,,,,,
ielts online classes,INR,50.0,0%,0%,High,100.0,56.57,110.36,,,,,,,,,,,,,,,,,
ielts mock test,INR,50.0,0%,0%,High,71.0,4.21,32.79,,,,,,,,,,,,,,,,,
ielts listening,INR,50.0,0%,0%,Medium,40.0,5.55,70.17,,,,,,,,,,,,,,,,,
study abroad consultants,INR,50.0,0%,0%,High,79.0,132.57,371.7,,,,,,,,,,,,,,,,,
ielts practice test,INR,50.0,0%,0%,Medium,42.0,11.59,50.8,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,Medium,54.0,16.01,48.3,,,,,,,,,,,,,,,,,
ielts coaching,INR,50.0,0%,0%,Medium,61.0,32.47,62.92,,,,,,,,,,,,,,,,,
ielts online course,INR,50.0,0%,0%,High,100.0,56.57,110.36,,,,,,,,,,,,,,,,,
ielts mock test free,INR,50.0,0%,0%,Medium,64.0,5.37,37.97,,,,,,,,,,,,,,,,,
ielts coaching centre near me,INR,50.0,0%,0%,High,71.0,20.7,31.93,,,,,,,,,,,,,,,,,
ielts reading practice test,INR,50.0,0%,0%,Medium,34.0,2.35,42.43,,,,,,,,,,,,,,,,,
ielts mock test online,INR,50.0,0%,0%,High,77.0,3.66,48.11,,,,,,,,,,,,,,,,,
ielts reading practice,INR,50.0,0%,0%,Medium,41.0,1.57,20.05,,,,,,,,,,,,,,,,,
ielts listening practice test,INR,50.0,0%,0%,Low,20.0,2.48,35.4,,,,,,,,,,,,,,,,,
ielts institute near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts practice test free,INR,50.0,0%,0%,High,75.0,5.81,43.25,,,,,,,,,,,,,,,,,
abroad education consultants,INR,50.0,0%,0%,High,79.0,132.57,371.7,,,,,,,,,,,,,,,,,
ielts practice test online,INR,50.0,0%,0%,High,86.0,12.27,63.72,,,,,,,,,,,,,,,,,
overseas education consultants,INR,50.0,0%,0%,Low,30.0,81.49,228.69,,,,,,,,,,,,,,,,,
ielts training near me,INR,50.0,0%,0%,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
ielts course near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts syllabus,INR,50.0,0%,0%,Low,26.0,3.0,45.69,,,,,,,,,,,,,,,,,
ielts mock test online free,INR,50.0,0%,0%,Medium,41.0,2.55,37.22,,,,,,,,,,,,,,,,,
pte coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam syllabus,INR,50.0,0%,0%,Low,26.0,3.0,45.69,,,,,,,,,,,,,,,,,
ielts sample test online,INR,50.0,0%,0%,High,86.0,12.27,63.72,,,,,,,,,,,,,,,,,
ielts exam practice,INR,50.0,0%,0%,Medium,42.0,11.59,50.8,,,,,,,,,,,,,,,,,
ielts training center near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts preparation online free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
abroad consultancy near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best ielts online course free,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,0%,0%,Medium,47.0,84.45,198.79,,,,,,,,,,,,,,,,,
ielts mock exam,INR,50.0,0%,0%,High,71.0,4.21,32.79,,,,,,,,,,,,,,,,,
foreign education consultants,INR,50.0,0%,0%,Low,30.0,81.49,228.69,,,,,,,,,,,,,,,,,
ielts online exam,INR,50.0,0%,0%,Medium,50.0,9.16,70.35,,,,,,,,,,,,,,,,,
ielts practice test online free,INR,50.0,0%,0%,Medium,64.0,5.37,37.97,,,,,,,,,,,,,,,,,
abroad study consultancy near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best consultancy for abroad studies,INR,50.0,0%,∞,High,100.0,100.0,230.93,,,,,,,,,,,,,,,,,
ielts reading mock test,INR,50.0,0%,0%,Medium,34.0,2.35,42.43,,,,,,,,,,,,,,,,,
ielts exam online test,INR,50.0,0%,0%,Medium,50.0,9.16,70.35,,,,,,,,,,,,,,,,,
ielts demo test,INR,50.0,0%,0%,Low,18.0,7.02,24.27,,,,,,,,,,,,,,,,,
best ielts online course,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts exam mock test,INR,50.0,0%,0%,High,71.0,4.21,32.79,,,,,,,,,,,,,,,,,
ielts training centre near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best counsellor for study abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
foreign study consultancy,INR,50.0,0%,0%,High,79.0,132.57,371.7,,,,,,,,,,,,,,,,,
ielts practise test,INR,50.0,0%,0%,Medium,42.0,11.59,50.8,,,,,,,,,,,,,,,,,
ielts exam practice online,INR,50.0,0%,0%,High,86.0,12.27,63.72,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts lessons online,INR,50.0,0%,0%,High,100.0,56.57,110.36,,,,,,,,,,,,,,,,,
best agency for studying abroad,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching,INR,50.0,0%,0%,Medium,61.0,32.47,62.92,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,∞,0%,Medium,33.0,,0.0,,,,,,,,,,,,,,,,,
ielts exam coaching near me,INR,50.0,0%,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
ielts coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
overseas education consultants near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
ielts mock exam online,INR,50.0,0%,0%,High,77.0,3.66,48.11,,,,,,,,,,,,,,,,,
ielts offline classes near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ajinorah online classes fees,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best pte coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
free ielts classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts practice paper,INR,50.0,0%,0%,Low,29.0,3.64,70.08,,,,,,,,,,,,,,,,,
best ielts course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
