Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
clothes cupboard design,INR,500.0,0%,0%,High,93.0,11.74,36.07,,,,,,,,,,,,,,,,,
cupboard cupboard design,INR,500.0,0%,0%,High,73.0,11.83,54.12,,,,,,,,,,,,,,,,,
bedroom and wardrobe design,INR,500.0,0%,0%,High,97.0,10.79,40.66,,,,,,,,,,,,,,,,,
room wardrobe design,INR,500.0,0%,0%,High,97.0,10.79,40.66,,,,,,,,,,,,,,,,,
kitchen modular kitchen,INR,500.0,0%,0%,High,86.0,22.45,90.17,,,,,,,,,,,,,,,,,
house designers near me,INR,500.0,900%,900%,Medium,48.0,66.74,272.95,,,,,,,,,,,,,,,,,
interior designers in near me,INR,500.0,900%,900%,Medium,48.0,66.74,272.95,,,,,,,,,,,,,,,,,
cupboard design,INR,500.0,0%,0%,High,73.0,11.83,54.12,,,,,,,,,,,,,,,,,
kitchen tiles design,INR,500.0,0%,0%,High,94.0,8.07,25.94,,,,,,,,,,,,,,,,,
modular kitchen,INR,500.0,0%,0%,High,86.0,22.45,90.17,,,,,,,,,,,,,,,,,
bedroom wardrobe design,INR,500.0,0%,0%,High,97.0,10.79,40.66,,,,,,,,,,,,,,,,,
wadroom design,INR,500.0,0%,0%,Low,24.0,19.62,37.88,,,,,,,,,,,,,,,,,
wardroom design,INR,500.0,0%,0%,High,93.0,11.74,36.07,,,,,,,,,,,,,,,,,
modern kitchens,INR,500.0,0%,0%,Low,8.0,16.06,33.88,,,,,,,,,,,,,,,,,
interior designer near by me,INR,500.0,900%,900%,Medium,48.0,66.74,272.95,,,,,,,,,,,,,,,,,
interior designers near me,INR,500.0,900%,900%,Medium,48.0,66.74,272.95,,,,,,,,,,,,,,,,,
interior decorator near me,INR,500.0,900%,900%,Medium,48.0,66.74,272.95,,,,,,,,,,,,,,,,,
modular kitchen design,INR,500.0,0%,0%,High,79.0,14.07,41.89,,,,,,,,,,,,,,,,,
wardrobe designs,INR,500.0,0%,0%,High,93.0,11.74,36.07,,,,,,,,,,,,,,,,,
kitchen interior design,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
modular kitchen pantry unit price,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen and wardrobe design,INR,50.0,0%,0%,Medium,47.0,14.58,39.84,,,,,,,,,,,,,,,,,
best dental clinic interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hometown renovation,INR,50.0,0%,0%,Low,17.0,27.72,83.43,,,,,,,,,,,,,,,,,
sink design for kitchen with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
remodeling old homes,INR,50.0,0%,0%,Low,17.0,16.34,99.86,,,,,,,,,,,,,,,,,
kitchen wardrobe design with price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
room interior design cost,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
wardrobe design with price,INR,50.0,0%,0%,High,71.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling design for hall price,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior shop near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior designers near me cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best office table design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best bedroom wardrobe,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
simple interior design low cost,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
showroom interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pop ceiling work near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
cost to renovate entire house,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior designing companies near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen tap design with price,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
wallpaper interior design near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best luxury interior designers,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design furniture near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
