Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
jee main,INR,5000.0,0%,0%,Low,4.0,58.88,88.98,,,,,,,,,,,,,,,,,
jee mains jee mains,INR,5000.0,0%,0%,Low,4.0,58.88,88.98,,,,,,,,,,,,,,,,,
viteee,INR,500.0,900%,900%,Low,31.0,8.67,46.64,,,,,,,,,,,,,,,,,
jee main exam,INR,500.0,0%,0%,Low,11.0,6.8,51.24,,,,,,,,,,,,,,,,,
jee main examination,INR,500.0,0%,0%,Low,11.0,6.8,51.24,,,,,,,,,,,,,,,,,
jee exam test,INR,500.0,0%,0%,Low,11.0,6.8,51.24,,,,,,,,,,,,,,,,,
nta jee mains,INR,500.0,-90%,0%,Low,6.0,11.9,88.53,,,,,,,,,,,,,,,,,
joint entrance examination jee main,INR,500.0,0%,0%,Low,11.0,6.8,51.24,,,,,,,,,,,,,,,,,
best jee coaching,INR,50.0,0%,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
jee coaching near me,INR,50.0,0%,0%,Low,22.0,,0.0,,,,,,,,,,,,,,,,,
jee mock test,INR,50.0,0%,0%,Medium,54.0,9.87,25.89,,,,,,,,,,,,,,,,,
iit coaching near me,INR,50.0,0%,0%,Medium,49.0,,0.0,,,,,,,,,,,,,,,,,
jee classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit jee coaching near me,INR,50.0,0%,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
physics wallah jee course fees,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
jee mock test free,INR,50.0,0%,0%,Medium,58.0,10.52,24.57,,,,,,,,,,,,,,,,,
jee coaching centre near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
engineering entrance exams,INR,50.0,0%,0%,Low,29.0,19.4,126.68,,,,,,,,,,,,,,,,,
jee mains mock test,INR,50.0,0%,0%,Low,32.0,9.82,23.62,,,,,,,,,,,,,,,,,
jee mains mock test free online,INR,50.0,0%,0%,Medium,46.0,11.48,28.17,,,,,,,,,,,,,,,,,
best online coaching for iit jee free,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee main coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
unacademy online classes fees for jee,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for jee,INR,50.0,0%,0%,High,71.0,,0.0,,,,,,,,,,,,,,,,,
best coaching for iit,INR,50.0,∞,∞,Medium,33.0,,0.0,,,,,,,,,,,,,,,,,
jee test series free,INR,50.0,0%,0%,High,86.0,7.83,32.2,,,,,,,,,,,,,,,,,
iit coaching centres near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best jee coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee mains coaching near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee institute near me,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
viteee exam,INR,50.0,0%,0%,Low,29.0,8.59,19.19,,,,,,,,,,,,,,,,,
jee main mock test free,INR,50.0,0%,0%,Medium,58.0,10.52,24.57,,,,,,,,,,,,,,,,,
