Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
kitchen interior design,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
kitchen and interior design,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
kitchen interior decoration,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
kitchen design interior design,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
design kitchen interior,INR,500.0,0%,0%,Medium,41.0,16.31,51.5,,,,,,,,,,,,,,,,,
kitchen cabinet cost,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
kitchen cabinet prices,INR,50.0,0%,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
cabinet prices,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cost of cabinets,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
low cost kitchen cabinets,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,0%,0%,Low,14.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,0%,0%,Medium,64.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
low cost cabinets,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
small kitchen interior design,INR,50.0,0%,0%,High,75.0,13.39,36.11,,,,,,,,,,,,,,,,,
readymade kitchen cabinets price,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
