Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
3 bhk,INR,5000.0,0%,900%,Low,1.0,30.35,87.18,,,,,,,,,,,,,,,,,
realtor estate,INR,500.0,0%,0%,Low,6.0,25.28,87.68,,,,,,,,,,,,,,,,,
houses for let near me,INR,500.0,0%,0%,Low,14.0,1.06,16.34,,,,,,,,,,,,,,,,,
real estate listings near me,INR,500.0,0%,900%,Low,11.0,6.77,59.91,,,,,,,,,,,,,,,,,
house sales agents near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
low price houses for sale near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
single bedroom house for rent near me,INR,50.0,0%,0%,Low,31.0,,0.0,,,,,,,,,,,,,,,,,
lodha new cuffe parade 2 bhk price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial plot for sale near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
newly constructed homes for sale near me,INR,50.0,0%,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
commercial house for rent near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
any house for sale near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
3 bedroom apartment for sale near me,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
houses close to me for sale,INR,50.0,-90%,-90%,Medium,40.0,1.57,32.13,,,,,,,,,,,,,,,,,
property to sell near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
