Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
derma near me,INR,5000.0,0%,0%,Medium,38.0,19.81,73.5,,,,,,,,,,,,,,,,,
dr dermatologist near me,INR,5000.0,0%,0%,Medium,40.0,17.29,69.23,,,,,,,,,,,,,,,,,
derm near me,INR,5000.0,0%,0%,Medium,38.0,19.81,73.5,,,,,,,,,,,,,,,,,
skin dr near me,INR,5000.0,0%,0%,Medium,40.0,17.29,69.23,,,,,,,,,,,,,,,,,
dermatologist near me,INR,5000.0,0%,0%,Medium,38.0,19.81,73.5,,,,,,,,,,,,,,,,,
dermatology near ne,INR,5000.0,0%,0%,Medium,38.0,19.81,73.5,,,,,,,,,,,,,,,,,
clinic skin care,INR,500.0,0%,0%,Low,7.0,44.55,107.3,,,,,,,,,,,,,,,,,
hair removal,INR,500.0,0%,900%,High,100.0,24.74,87.39,,,,,,,,,,,,,,,,,
laser treatment of face,INR,500.0,0%,0%,Medium,36.0,30.06,108.3,,,,,,,,,,,,,,,,,
skin doctor near by me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
good skin doctors near me,INR,500.0,0%,0%,Medium,58.0,20.85,76.57,,,,,,,,,,,,,,,,,
hydrafacial price,INR,500.0,-90%,-90%,Low,24.0,20.38,50.23,,,,,,,,,,,,,,,,,
laser hair removal,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
laser treatment for hair removal,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
nirmala skin clinic,INR,500.0,0%,900%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
skin specialist doctor near me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
good skin doctor near me,INR,500.0,0%,0%,Medium,58.0,20.85,76.57,,,,,,,,,,,,,,,,,
skin special doctor near me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
best skin doctor near me,INR,500.0,0%,0%,Medium,58.0,20.85,76.57,,,,,,,,,,,,,,,,,
cutis clinic,INR,500.0,0%,0%,Low,11.0,6.43,70.12,,,,,,,,,,,,,,,,,
sandeep skin and hair clinic,INR,500.0,0%,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
skin specialist in near me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
upper lip hair removal,INR,500.0,0%,900%,High,98.0,23.65,121.49,,,,,,,,,,,,,,,,,
laser depilation,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
skin care clinic near me,INR,500.0,0%,0%,Medium,33.0,20.82,74.82,,,,,,,,,,,,,,,,,
near me skin specialist,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
laser hair reduction,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
dr lavanya's skin clinic,INR,500.0,0%,0%,Low,5.0,,0.0,,,,,,,,,,,,,,,,,
skin treatment clinic near me,INR,500.0,0%,0%,Medium,33.0,20.82,74.82,,,,,,,,,,,,,,,,,
laser hair removal laser,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
skin care clinic,INR,500.0,0%,0%,Low,7.0,44.55,107.3,,,,,,,,,,,,,,,,,
dr skin near me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
skin clinic,INR,500.0,0%,0%,Low,8.0,41.55,161.32,,,,,,,,,,,,,,,,,
near me skin specialist doctor,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
peeling chemical peel,INR,500.0,0%,0%,High,94.0,26.87,108.67,,,,,,,,,,,,,,,,,
laser light hair removal,INR,500.0,0%,0%,High,85.0,38.76,123.39,,,,,,,,,,,,,,,,,
skin specialist near me,INR,500.0,0%,0%,Medium,43.0,5.69,58.27,,,,,,,,,,,,,,,,,
facial hair removal,INR,500.0,0%,0%,High,100.0,22.5,67.64,,,,,,,,,,,,,,,,,
chemical peel,INR,500.0,0%,0%,High,94.0,26.87,108.67,,,,,,,,,,,,,,,,,
skin clinic near me,INR,500.0,0%,0%,Medium,35.0,9.59,59.99,,,,,,,,,,,,,,,,,
photo rejuvenation treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best pigmentation removal treatment,INR,50.0,0%,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
skin chemical peeling treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
good dermatology doctors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
clear skin laser skin and hair clinic,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist specializing in melanoma near me,INR,50.0,∞,∞,Low,7.0,,0.0,,,,,,,,,,,,,,,,,
dermatologist dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
nearest skin specialist clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iskin clinic,INR,50.0,0%,0%,Low,16.0,,0.0,,,,,,,,,,,,,,,,,
famous skin specialist near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best doctor for hair fall near me,INR,50.0,0%,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
best treatment to remove pigmentation on face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin n hair clinic near me,INR,50.0,0%,0%,Medium,38.0,36.81,151.1,,,,,,,,,,,,,,,,,
best skin specialist for pigmentation near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
priya skin clinic,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
nearby best dermatologist,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
near by me skin specialist,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
folliculitis dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment to remove pigmentation,INR,50.0,0%,0%,Medium,51.0,35.85,97.84,,,,,,,,,,,,,,,,,
renew skin clinic,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
treat skin pigmentation,INR,50.0,0%,0%,High,100.0,20.35,184.15,,,,,,,,,,,,,,,,,
skin resurfacing treatment cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skinaa clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser resurfacing treatment cost,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
skin specialist for pimples near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me best dermatologist,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
clinicare chemical peels,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin expert clinic,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
dark spots and pigmentation treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
carves skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cosmetic peel treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dermatologist and cosmetologist near me,INR,50.0,∞,∞,Medium,48.0,,0.0,,,,,,,,,,,,,,,,,
lip pigmentation removal treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best laser for dark spots on face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
all skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
keravive scalp treatment price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair & skin clinic,INR,50.0,0%,0%,Low,21.0,,0.0,,,,,,,,,,,,,,,,,
rejuvenating hand treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ped dermatologist near me,INR,50.0,0%,0%,Low,19.0,1.08,15.24,,,,,,,,,,,,,,,,,
all dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
chemical peel costs,INR,50.0,0%,0%,Medium,53.0,25.43,65.65,,,,,,,,,,,,,,,,,
best peel for sensitive skin,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
faces skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
lips pigmentation remove,INR,50.0,0%,0%,High,98.0,7.22,120.53,,,,,,,,,,,,,,,,,
aura skin clinic,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best dermatologist around me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist near me open sunday,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
dermatologist near me practo,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spot removal laser treatment cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
special dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair & skin clinic near me,INR,50.0,0%,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
malayali dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best salicylic acid peel,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist near me best,INR,50.0,0%,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
facial skin clinic near me,INR,50.0,0%,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
laser treatment for dark spots on body,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
signature hydrafacial price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
phenol peel price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skin peeling solution,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin whitening specialist near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
senior dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tca peel price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
face pigmentation removal treatment,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
best and affordable dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dr nazia's skin & hair clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sakhiya skin clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment for face to remove dark spots,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wart doctor near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pigmentation and dark spots treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
anchala skin clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial back treatment cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment for pigmentation on face,INR,50.0,0%,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
skin specialist around me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin clinic near me laser,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for tan removal,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
face chemical peeling treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
keha skin and hair clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
face peel off treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
salicylic acid peel treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skincare dr near me,INR,50.0,0%,0%,Medium,52.0,17.12,68.5,,,,,,,,,,,,,,,,,
rashmi skin and hair clinic,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for lips,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser for dark spots cost,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best dermatologist for dark circles near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin specialist doctor nearby,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment to remove hyperpigmentation,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
peeling treatment price,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dermatology clinic nearby,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
hyperpigmentation treatment price,INR,50.0,0%,∞,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
cosmetic skin care clinic,INR,50.0,0%,0%,Low,11.0,,0.0,,,,,,,,,,,,,,,,,
skinfinity clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
derma peel treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial kit price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment for dark pigmentation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist for itchy skin near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin and hair treatment near me,INR,50.0,0%,∞,High,93.0,,0.0,,,,,,,,,,,,,,,,,
chemical peel off treatment,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial md elite price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
