Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
tuition near me,INR,500.0,-90%,-90%,Low,8.0,3.76,20.63,,,,,,,,,,,,,,,,,
tuition for primary classes near me,INR,50.0,∞,∞,Medium,57.0,,0.0,,,,,,,,,,,,,,,,,
class 10 coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
coaching classes for 10th near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bca maths tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me for class 10 state syllabus,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best gre preparation course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cbse coaching centre near me,INR,50.0,0%,0%,Low,8.0,,0.0,,,,,,,,,,,,,,,,,
best course for gre,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cbse class 12 maths tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tutors for ukg near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
12th cbse tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
sst tuition near me for class 10,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition for 9th class near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
gmat best prep course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
any tuition near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
vedic maths tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me for class 6,INR,50.0,0%,0%,High,86.0,,0.0,,,,,,,,,,,,,,,,,
online maths tuition for class 10 near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition for class 9 cbse near me,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
home tutors for 1st standard near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition near me for class 8,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition for 10th near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
english tuition for class 10 near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for class 7 cbse,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition required near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for class 11 pcm,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths class 10 tuition near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
maths and science tuition near me class 10,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tuition for maths near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for cbse class 10 near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
science tuition near me for class 10,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
class 1 tuition near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home tutors for lkg near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online tuition for class 10 cbse near me,INR,50.0,∞,∞,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
best gre study course,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best maths coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cbse maths teacher near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tuition for class 10,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best tuition near me for class 8,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home tuition services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
any home tuition near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
10th standard tuition near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
tuition near me for class 3,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
10th cbse tuition classes near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cbse home tutors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
