Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
car rental near me,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
self drive cars,INR,50.0,0%,0%,Low,32.0,4.28,14.52,,,,,,,,,,,,,,,,,
car hire near me,INR,50.0,∞,∞,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
vehicle rental near me,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
auto rental near me,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
luxury car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
airport taxi near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jeep rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
local car rentals near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
rent a pickup truck near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
self drive cars near me,INR,50.0,0%,0%,Low,4.0,,0.0,,,,,,,,,,,,,,,,,
car travels near me,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
local car hire near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
best car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
car rental agencies near me,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
vehicle hire near me,INR,50.0,∞,∞,Medium,52.0,,0.0,,,,,,,,,,,,,,,,,
taxi cab service near me,INR,50.0,∞,0%,Low,12.0,,0.0,,,,,,,,,,,,,,,,,
van to rent near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
luxury car hire near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
price car rental,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
local rental cars near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
self drive car rental near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best place to rent a car near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
one day car rental near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
rent for car near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
renta car near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me rental car,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
car in rent near me,INR,50.0,0%,0%,Low,19.0,3.15,11.76,,,,,,,,,,,,,,,,,
