Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
ielts coaching near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
ielts classes near me,INR,50.0,0%,0%,Medium,36.0,,0.0,,,,,,,,,,,,,,,,,
ielts institute near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best ielts online coaching,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
study abroad consultants near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
consultancy near me for abroad studies,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
ielts best online coaching,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
overseas consultancy near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for ielts,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best consultancy for mbbs abroad,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
coaching centre for ielts near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
online best ielts coaching,INR,50.0,∞,∞,High,100.0,,0.0,,,,,,,,,,,,,,,,,
best abroad study consultancy,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
