Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
interior designers near me,INR,50.0,0%,0%,Medium,37.0,58.33,194.08,,,,,,,,,,,,,,,,,
bathroom remodel near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
remodeling contractors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen,INR,50.0,0%,0%,Medium,41.0,22.51,96.19,,,,,,,,,,,,,,,,,
interior decorator near me,INR,50.0,0%,0%,Medium,37.0,58.33,194.08,,,,,,,,,,,,,,,,,
bathroom renovations near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
kitchen renovation costs,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
modular kitchen price,INR,50.0,0%,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design near me,INR,50.0,∞,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
home designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
remodelers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen near me,INR,50.0,0%,0%,Medium,50.0,,0.0,,,,,,,,,,,,,,,,,
home decorators near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best kitchen designs,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design companies near me,INR,50.0,∞,0%,Low,1.0,,0.0,,,,,,,,,,,,,,,,,
house designers near me,INR,50.0,0%,0%,Medium,37.0,58.33,194.08,,,,,,,,,,,,,,,,,
renovation cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen designs with price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home interiors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home renovation builders near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best interior designers near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
commercial interior designers near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen reno cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen remodelling cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
false ceiling near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design price list,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best interior decorators near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior designer near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
shop interior designer near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen redesign cost,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home design near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior decorator near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
bathroom remodeling costs,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
interior design for home near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic design,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
home interior design near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
kitchen interior cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
clinic interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
wardrobe design near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design office near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
remodel cost,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
homelane interiors near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dental clinic interior design,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house interior designers near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home interior cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
near me remodeling,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
home decor services near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best wardrobe design for bedroom,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
interior design shop near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best office interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
false ceiling work near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
best kitchen interior design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best modular kitchen design,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen trolley price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
kitchen interior design near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
simple kitchen design low cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
house interior design cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
modular kitchen cabinets price,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
