Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
jee main,INR,500.0,0%,900%,Low,6.0,72.75,88.63,,,,,,,,,,,,,,,,,
jee mains jee mains,INR,500.0,0%,900%,Low,6.0,72.75,88.63,,,,,,,,,,,,,,,,,
best jee coaching,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee mock test,INR,50.0,0%,0%,Medium,47.0,9.61,20.85,,,,,,,,,,,,,,,,,
jee mains mock test,INR,50.0,0%,0%,Medium,36.0,10.04,18.91,,,,,,,,,,,,,,,,,
jee coaching near me,INR,50.0,∞,0%,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
jee coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit coaching near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit jee coaching near me,INR,50.0,∞,∞,Low,29.0,,0.0,,,,,,,,,,,,,,,,,
jee mock test free,INR,50.0,0%,0%,Medium,53.0,14.35,35.6,,,,,,,,,,,,,,,,,
best institute for jee preparation,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee main coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
unacademy online classes fees for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online coaching for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for iit,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pw online classes fees for jee,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee online coaching fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee main mock test free,INR,50.0,0%,0%,Medium,53.0,14.35,35.6,,,,,,,,,,,,,,,,,
best jee coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet jee coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pw jee course fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best test series for jee,INR,50.0,∞,∞,High,71.0,,0.0,,,,,,,,,,,,,,,,,
unacademy jee online classes fees,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee main classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
physics wallah fees for neet,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee neet coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for jee advanced,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best test series for jee mains,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best online classes for jee mains and advanced,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
neet and jee coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee tutors near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee advanced coaching centre near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching for jee droppers,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
jee coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit jee neet coaching near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best coaching institute for iit,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
iit coaching classes near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best mock test for jee mains,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
all the best for jee advanced,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
allen online classes fees for jee main and advance,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best apps for iit jee preparation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
