Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025
derm near me,INR,500.0,0%,900%,Low,11.0,20.4,93.38,,,,,,,,,,,,,,,,,
dermatology near ne,INR,500.0,0%,900%,Low,11.0,20.4,93.38,,,,,,,,,,,,,,,,,
derma near me,INR,500.0,0%,900%,Low,11.0,20.4,93.38,,,,,,,,,,,,,,,,,
dermatologist near me,INR,500.0,0%,900%,Low,11.0,20.4,93.38,,,,,,,,,,,,,,,,,
lhr treatment,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
collagen induction therapy cost,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser hair reduction treatment,INR,50.0,∞,∞,High,86.0,,0.0,,,,,,,,,,,,,,,,,
hair care doctors near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
laser treatment for upper lip cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatopathology near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair specialist doctors near me,INR,50.0,0%,0%,Medium,51.0,0.87,49.24,,,,,,,,,,,,,,,,,
near me dermatologist clinic,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pedia dermatologist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
face fillers price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin & hair clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial near me with price,INR,50.0,∞,∞,Medium,43.0,,0.0,,,,,,,,,,,,,,,,,
laser treatment for lips cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
vlcc hydrafacial price,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hair skin clinic near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
remove dark patches on face,INR,50.0,0%,0%,High,100.0,13.95,221.22,,,,,,,,,,,,,,,,,
hair laser treatment price,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
laser skin resurfacing price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
dermatologist for skin near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin disease clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
melasma dark patches on face treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
chemical peel for skin whitening,INR,50.0,∞,0%,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
cost of hydrafacial near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist and cosmetologist near me,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
nearby skin care clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for pigmentation,INR,50.0,∞,0%,High,100.0,,0.0,,,,,,,,,,,,,,,,,
twacha skin clinic,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
pimple dr near me,INR,50.0,0%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dark spot laser treatment price,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best peeling solution for face,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
acid peel near me,INR,50.0,-100%,-100%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
mediskin clinic,INR,50.0,0%,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
oliva skin and hair clinic near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin hair clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best acid peel,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin beauty clinic,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best way to reduce hyperpigmentation,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best chemical peel for face,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
top ten dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
best skincare doctor near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist medical near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
pigmentation peel treatment,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
skin and hair dermatologist near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
cost for hydrafacial,INR,50.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
best lady dermatologist near me,INR,50.0,-100%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
dermatologist near me chemical peel,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
co2 laser resurfacing price,INR,50.0,∞,∞,Low,0.0,,0.0,,,,,,,,,,,,,,,,,
price for hydrafacial,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
medifacial near me,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
hydrafacial treatment price,INR,50.0,0%,0%,Low,2.0,,0.0,,,,,,,,,,,,,,,,,
laser removal dark spots cost,INR,50.0,0%,0%,Unknown,,,0.0,,,,,,,,,,,,,,,,,
