Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Dr Divya Skin, Cosmoderm and Laser Clinic(Skin Specialist, Cosmetologist, Hair Specialist)",,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Maanas Skin Hair & Laser Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
"Dr Dani's Skin, Cosmetic And Laser Clinic",,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Siddeshwara Skin Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
"VCare Hair & Skin Clinic - Ballari | Skin Treatment, Hair Treatment, Hair Transplant, Laser Hair Removal, Skin Whitening",,7395823232,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Dr Afshan Skin & Hair Clinic,,6361651114,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Annapoorna Skin Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dr Vadiraj Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
SRUSHTI HEALTH CLINIC,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dr Raghu Skin Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dr Afshan - Skin & Hair Clinic (Expert Dermatologist | Skin Specialist | Hair Transplant Surgeon) - Dr.Gouhare Afshan,,6361651114,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
"Dr Batra’s Homeopathy, Hair & Skin Clinic",,9033001649,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Srushti Hair and Skin clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Gudi Skin Care Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Vaibhav Skin Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dr praladh rao eye and skin hospital,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
New Srihari clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Maya Beauty Salon And Makeup Studio,,9743209896,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
LAKSHYA DENTAL & BONNE BODY HAIR CLINIC,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Shiv skin care clinic Dr karjagi siddalingappa hospital ballari,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Kaya Ayurvedic Panchakarma Centre,,8180305391,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
DANI SKIN COSMETIC AND LASER CLINIC,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Skin Care Clinic - Dr. Raghu T Y,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Manikya Nature Cure Clinic,,8277159087,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Craze Beauty Parlour & Training Institute and SKIN CARE CLINIC,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
"Srujan aesthetic clinic(Shifted to Anantha vasudev hospital , anantpur road)",,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dr VEERESH,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
RELIEF POLY CLINIC,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
RJR HERBAL HOSPITAL - BALLARI,,7826977711,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Dr Care & Cure Homeopathy,,7795621117,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Sree Thirumala Hospital,,8392255774,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE RECOVERED
Prakash Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Shiva Clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Lakshmi Nilayam. Infantry road beside Dr Danis skin clinic,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
Dermatology consultation,,,Ballari,Tuition Centre,Y,,,,2026-03-16,PHONE MISSING
