Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Bellary Superspeciality Dental Hospital,,9845861354,Ballari,Dental Clinic,Y,,,,2026-03-16,
Sri Akshaya Dental Care And Implant Center,,7019176059,Ballari,Dental Clinic,Y,,,,2026-03-16,
GALAXY DENTAL CLINIC,,8660536520,Ballari,Dental Clinic,Y,,,,2026-03-16,
Sri Sai Dental Specialities,,8050956789,Ballari,Dental Clinic,Y,,,,2026-03-16,PHONE RECOVERED
Dental Clinic in Bellary,,7019176059,Ballari,Dental Clinic,Y,,,,2026-03-16,
SEVA MULTISPECIALITY DENTAL CLINIC & IMPLANT CENTER,,9945690531,Ballari,Dental Clinic,Y,,,,2026-03-16,
Narayan Dental studio,,,Ballari,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Matha Super Speciality Dental Hospital,,9535633066,Ballari,Dental Clinic,Y,,,,2026-03-16,
LAKSHYA DENTAL & BONNE BODY HAIR CLINIC,,9902930931,Ballari,Dental Clinic,Y,,,,2026-03-16,
IVY DENTAL CENTRE,,,Ballari,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Kunjeti Dental Facial & Implant Clinic,,8885558392,Ballari,Dental Clinic,Y,,,,2026-03-16,
ST MARYS DENTAL CLINIC,,7708736960,Ballari,Dental Clinic,Y,,,,2026-03-16,
Devi Dental Clinic,,6361955755,Ballari,Dental Clinic,Y,,,,2026-03-16,
Empire Dental Hospital,,8792220333,Ballari,Dental Clinic,Y,,,,2026-03-16,
Smile Dental Clinic,,8660360148,Ballari,Dental Clinic,Y,,,,2026-03-16,
Siwak Dental Clinic,,9845940594,Ballari,Dental Clinic,Y,,,,2026-03-16,
Suraksha Speciality Dental Care,,9886690065,Ballari,Dental Clinic,Y,,,,2026-03-16,
Family Dental Care And Implant Center,,8660789285,Ballari,Dental Clinic,Y,,,,2026-03-16,
Sri Lalitha Dental Clinic,,6366167367,Ballari,Dental Clinic,Y,,,,2026-03-16,
Amrutha Dental Hospitals,,8392279789,Ballari,Dental Clinic,Y,,,,2026-03-16,
MAYANK DENTAL CLINIC,,9091933555,Ballari,Dental Clinic,Y,,,,2026-03-16,
ismile dental clinic,,8722680608,Ballari,Dental Clinic,Y,,,,2026-03-16,
SRINIVAS DENTAL CARE,,9880019714,Ballari,Dental Clinic,Y,,,,2026-03-16,
Sree Dental Care,,9535056921,Ballari,Dental Clinic,Y,,,,2026-03-16,
Shiva Dental and Physiotherapy,,,Ballari,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
DAAJI's multispeciality dental clinic,,7975245985,Ballari,Dental Clinic,Y,,,,2026-03-16,
NEELESH DENTAL CLINIC,,7204359186,Ballari,Dental Clinic,Y,,,,2026-03-16,
Rukmini Dental Clinic,,9886668567,Ballari,Dental Clinic,Y,,,,2026-03-16,
Sree Krishna Dental clinic Dr.Rajeeva .K. B,,8392277730,Ballari,Dental Clinic,Y,,,,2026-03-16,
Bapuji Dental care,,,Ballari,Dental Clinic,Y,,,,2026-03-16,PHONE MISSING
Dental speciality hospitals,,8392244175,Ballari,Dental Clinic,Y,,,,2026-03-16,
Neela Dental Clinic,,8392274004,Ballari,Dental Clinic,Y,,,,2026-03-16,
Ballari Dental Clinic,,8088006006,Ballari,Dental Clinic,Y,,,,2026-03-16,
