Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Sri Shakthi Hanuman Gym ( A Goal Oriented Gym With Evidence Based Techniques ),,8618315270,Ballari,Gym,Y,,,,2026-03-16,
Fitness zone,,9879872430,Ballari,Gym,Y,,,,2026-03-16,
Galaxy Fitness Club Gym,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
Infinity Health and Fitness,,7353066480,Ballari,Gym,Y,,,,2026-03-16,
Sai Fitness Centre,,9740503710,Ballari,Gym,Y,,,,2026-03-16,
Stayfit Health & Fitness World Pvt Ltd.,,9900111927,Ballari,Gym,Y,,,,2026-03-16,
Fitness Studio 313,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
Titans V2 Gym & Fitness,,7019198576,Ballari,Gym,Y,,,,2026-03-16,
Grow Active Fitness,,7348929453,Ballari,Gym,Y,,,,2026-03-16,
"Police Gymkhana, Bellary",,8392268100,Ballari,Gym,Y,,,,2026-03-16,
Energie Fitness - 34,,7090920101,Ballari,Gym,Y,,,,2026-03-16,
Abstem Ladies Fitness Studio,,8050372906,Ballari,Gym,Y,,,,2026-03-16,
Fitness Drive Gym,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
Body Line Gym,,9880579339,Ballari,Gym,Y,,,,2026-03-16,
Standard Gym,,8150868681,Ballari,Gym,Y,,,,2026-03-16,
Thirumala Gym,,7676666678,Ballari,Gym,Y,,,,2026-03-16,
Raw Reps Fit Zone,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Siri Fitness Gym Equipments,,7406669274,Ballari,Gym,Y,,,,2026-03-16,
Living yoga fitness centre (Only for women),,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Ballari Indoor Stadium,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
HARIKRISHNA Gym,,9008617812,Ballari,Gym,Y,,,,2026-03-16,
"SS GYM ( STRONG WOMEN, STRONG WORLD)",,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Osho Jeevan Jagriti Kendra,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Active life ladies gym,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Ballari Sports Complex || Cowl Bazar || Ballari,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
BSC Swimming Pool,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Samskara Yoga Center,,9353168385,Ballari,Gym,Y,,,,2026-03-16,
MRV Badminton Arena,,8892421629,Ballari,Gym,Y,,,,2026-03-16,
Yogasree Iyengar Yoga Center,,9481872615,Ballari,Gym,Y,,,,2026-03-16,
Saadhana Yoga And Prakrutika Chikitsa Kendra,,9986254479,Ballari,Gym,Y,,,,2026-03-16,PHONE RECOVERED
BSC Badminton courts,,7485875398,Ballari,Gym,Y,,,,2026-03-16,
Balaji Sports Shop,,9632357143,Ballari,Gym,Y,,,,2026-03-16,
"ADISHA YOGASHALA , MRV LAYOUT SANGAKAL ROAD BELLARI",,9342050185,Ballari,Gym,Y,,,,2026-03-16,
"Sip Abacus Gandhinagar, Ballari",,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Galaxy Fitness Club 2.0,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Football Stadium,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
Leaf Yoga Classes at Home,,9849150590,Ballari,Gym,Y,,,,2026-03-16,
Medara Ketayya Nagara Udyanavana,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
Raghavendra Colony 2nd Stage,,8904545459,Ballari,Gym,Y,,,,2026-03-16,
KKN physiotherapy clinic,,7618751489,Ballari,Gym,Y,,,,2026-03-16,
Ex - Servicemen Colony Public Park || Ballari,,8884920938,Ballari,Gym,Y,,,,2026-03-16,
VinYoga,,9396926208,Ballari,Gym,Y,,,,2026-03-16,
GYM / FITNESS TRAINER,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
Naveen Kumar,,6829669985,Ballari,Gym,Y,,,,2026-03-16,PHONE RECOVERED
D G,,,Ballari,Gym,Y,,,,2026-03-16,PHONE MISSING
