Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Blue Sketch Architects , Interior designers & Constructions",,7795195545,Ballari,Interior Designer,Y,,,,2026-03-16,
Os Interior & Exteriors🇮🇳,,9113642659,Ballari,Interior Designer,Y,,,,2026-03-16,
INTERIUS - Interior Designers in Ballari,,9154841875,Ballari,Interior Designer,Y,,,,2026-03-16,
T-Scale Architects & Interior Designers,,8217374116,Ballari,Interior Designer,Y,,,,2026-03-16,
SS Constructions & Interiors,,8951349752,Ballari,Interior Designer,Y,,,,2026-03-16,
BM interiors Ballari,,7619444383,Ballari,Interior Designer,Y,,,,2026-03-16,
White Teak Design,,9380456367,Ballari,Interior Designer,Y,,,,2026-03-16,
Hasta Architects,,8392277288,Ballari,Interior Designer,Y,,,,2026-03-16,
VRN Interiors,,8792299081,Ballari,Interior Designer,Y,,,,2026-03-16,
Visual Reality,,8884099912,Ballari,Interior Designer,Y,,,,2026-03-16,
"Creative Solutions. Constructions, Interior Design, Home Automation & Rainwater Harvesting",,9880421453,Ballari,Interior Designer,Y,,,,2026-03-16,
9BRIKS CONSTRUCTION COMPANY,,9740035554,Ballari,Interior Designer,Y,,,,2026-03-16,
REDBRICK ARCHITECTS,,8123944575,Ballari,Interior Designer,Y,,,,2026-03-16,
Kamadhenu Interior Designers,,9886695305,Ballari,Interior Designer,Y,,,,2026-03-16,
Joshua interiors-Best Interior Designers/Best Interior Decorators/Best Carpenters/Best Painters And Decorators,,9071154442,Ballari,Interior Designer,Y,,,,2026-03-16,
STYLEZ N CLASSY,,7899359289,Ballari,Interior Designer,Y,,,,2026-03-16,
CETATI ARCHITECTS,,9986278062,Ballari,Interior Designer,Y,,,,2026-03-16,
Sign Galaxy,,9663318125,Ballari,Interior Designer,Y,,,,2026-03-16,
White Brick Architects & Interiors,,7338405087,Ballari,Interior Designer,Y,,,,2026-03-16,
Carpenter ballari,,9999999776,Ballari,Interior Designer,Y,,,,2026-03-16,PHONE RECOVERED
VEL Infra and Interiors,,9886374666,Ballari,Interior Designer,Y,,,,2026-03-16,
Hijab Interiors,,9448981701,Ballari,Interior Designer,Y,,,,2026-03-16,
Millennium Architects & Builders,,9035145011,Ballari,Interior Designer,Y,,,,2026-03-16,
Ksp Architects and interiors,,8073793507,Ballari,Interior Designer,Y,,,,2026-03-16,
Dream and Design,,,Ballari,Interior Designer,Y,,,,2026-03-16,PHONE MISSING
LAVISH DESIGNS,,8880204449,Ballari,Interior Designer,Y,,,,2026-03-16,
