Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
"Aakash Institute, Ballari",,9686696041,Ballari,JEE Coaching,Y,,,,2026-03-16,
Vision NEET Academy (Bellary),,6366581638,Ballari,JEE Coaching,Y,,,,2026-03-16,
"MAHARSHI COACHING CENTRE (Coaching for Sainik, Navodaya school exams)",,9902374020,Ballari,JEE Coaching,Y,,,,2026-03-16,
NIIT Bellary Center,,9341747839,Ballari,JEE Coaching,Y,,,,2026-03-16,
Raghavendra Coaching Centre,,9742111236,Ballari,JEE Coaching,Y,,,,2026-03-16,
Ravi Coaching Centre,,9845837470,Ballari,JEE Coaching,Y,,,,2026-03-16,
NRC NEET ACADEMY,,8431602555,Ballari,JEE Coaching,Y,,,,2026-03-16,
Narayana Junior College - Ballari,,9505365956,Ballari,JEE Coaching,Y,,,,2026-03-16,PHONE RECOVERED
Sreedhar's CCE,,9481311234,Ballari,JEE Coaching,Y,,,,2026-03-16,
"Sri Chaitanya PU College, Havambavi, Ballari",,7411625689,Ballari,JEE Coaching,Y,,,,2026-03-16,
Aakash Institute Bellary,,8800898251,Ballari,JEE Coaching,Y,,,,2026-03-16,
Bhandhavya Institute Of Training Academy (BITA),,9538835166,Ballari,JEE Coaching,Y,,,,2026-03-16,
