Business Name,Owner Name,Phone,City,Niche,Has Website,GMB Rating,GMB Reviews,Lead Source,Import Date,Status
Real Estate Bellary DKS constructions,,7795553456,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Ballari Property,,8618756291,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Gani Properties Bellary,,6360923849,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Arjun Consultancy,,8105556789,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Sri Manushree Properties,,7337852087,Ballari,Real Estate Agent,Y,,,,2026-03-16,
The Arjun Properties,,6400050299,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Amruth Properties,,9577768666,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Sharath Tours & Travels Ballari(Car rental service),,9740342425,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Commercial and Residential Plots on Kanekal road,,9845228999,Ballari,Real Estate Agent,Y,,,,2026-03-16,
PRIYANKA ASSOCIATESS,,9448496380,Ballari,Real Estate Agent,Y,,,,2026-03-16,
RR DEVELOPERS,,8639588845,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Skandhanshi Lemon leaf,,,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Sanskruthi,,6360782145,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Aadhar Housing Finance Ltd,,8888899953,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE RECOVERED
Iqbal Engineering Services,,9886266833,Ballari,Real Estate Agent,Y,,,,2026-03-16,
PANCHAMUKHI SUPPLIERS,,9008229432,Ballari,Real Estate Agent,Y,,,,2026-03-16,
RR Editing World,,7338338233,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Piramal Finance Limited,,,Ballari,Real Estate Agent,Y,,,,2026-03-16,PHONE MISSING
Prompt Enterprise,,9964787663,Ballari,Real Estate Agent,Y,,,,2026-03-16,
Pavan consutlancy,,9035180549,Ballari,Real Estate Agent,Y,,,,2026-03-16,
MURALI MOHAN REAL ESTATE,,8951188866,Ballari,Real Estate Agent,Y,,,,2026-03-16,
GK Groups,,9735849999,Ballari,Real Estate Agent,Y,,,,2026-03-16,
